event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,77.116000000,77.116000000,0.000000000,100.000000000,-1.000000000,-1.000000000,0,0,0
1,77.216000000,77.216000000,0.000000000,100.000000000,97.615185000,-2.384815000,0,0,0
2,77.323000000,77.323000000,0.000000000,100.000000000,104.681846000,4.681846000,0,0,0
3,77.416000000,77.416000000,0.000000000,100.000000000,90.887704000,-9.112296000,0,0,0
4,77.516000000,77.516000000,0.000000000,100.000000000,102.540153000,2.540153000,0,0,0
5,77.616000000,77.616000000,0.000000000,100.000000000,101.594627000,1.594627000,0,0,0
6,77.717000000,77.717000000,0.000000000,100.000000000,99.814220000,-0.185780000,0,0,0
7,77.817000000,77.817000000,0.000000000,100.000000000,103.639348000,3.639348000,0,0,0
8,77.916000000,77.916000000,0.000000000,100.000000000,95.015739000,-4.984261000,0,0,0
9,78.018000000,78.018000000,0.000000000,100.000000000,111.251110000,11.251110000,0,0,0
10,78.116000000,78.116000000,0.000000000,100.000000000,101.022342000,1.022342000,0,0,0
11,78.216000000,78.216000000,0.000000000,100.000000000,114.481769000,14.481769000,0,0,0
12,78.317000000,78.317000000,0.000000000,100.000000000,90.588092000,-9.411908000,0,0,0
13,78.416000000,78.416000000,0.000000000,100.000000000,105.864784000,5.864784000,0,0,0
14,78.516000000,78.516000000,0.000000000,100.000000000,96.827262000,-3.172738000,0,0,0
15,78.616000000,78.616000000,0.000000000,100.000000000,103.223870000,3.223870000,0,0,0
16,78.717000000,78.717000000,0.000000000,100.000000000,99.043440000,-0.956560000,0,0,0
17,78.816000000,78.816000000,0.000000000,100.000000000,103.348309000,3.348309000,0,0,0
18,78.916000000,78.916000000,0.000000000,100.000000000,96.136684000,-3.863316000,0,0,0
19,79.017000000,79.017000000,0.000000000,100.000000000,93.366301000,-6.633699000,0,0,0
20,79.118000000,79.118000000,0.000000000,100.000000000,104.887768000,4.887768000,0,0,0
21,79.216000000,79.216000000,0.000000000,100.000000000,96.096524000,-3.903476000,0,0,0
22,79.316000000,79.316000000,0.000000000,100.000000000,99.822681000,-0.177319000,0,0,0
23,79.416000000,79.416000000,0.000000000,100.000000000,110.080306000,10.080306000,0,0,0
24,79.516000000,79.516000000,0.000000000,100.000000000,103.330771000,3.330771000,0,0,0
25,79.617000000,79.617000000,0.000000000,100.000000000,105.289374000,5.289374000,0,0,0
26,79.716000000,79.716000000,0.000000000,100.000000000,97.366026000,-2.633974000,0,0,0
27,79.817000000,79.817000000,0.000000000,100.000000000,99.232756000,-0.767244000,0,0,0
28,79.916000000,79.916000000,0.000000000,100.000000000,102.131764000,2.131764000,0,0,0
29,80.017000000,80.017000000,0.000000000,100.000000000,102.138159000,2.138159000,0,0,0
30,80.116000000,80.116000000,0.000000000,100.000000000,100.284617000,0.284617000,0,0,0
31,80.216000000,80.216000000,0.000000000,100.000000000,95.469414000,-4.530586000,0,0,0
32,80.316000000,80.316000000,0.000000000,100.000000000,94.318921000,-5.681079000,0,0,0
33,80.416000000,80.416000000,0.000000000,100.000000000,112.977545000,12.977545000,0,0,0
34,80.519000000,80.519000000,0.000000000,100.000000000,96.314665000,-3.685335000,0,0,0
35,80.616000000,80.616000000,0.000000000,100.000000000,104.346083000,4.346083000,0,0,0
36,80.718000000,80.718000000,0.000000000,100.000000000,101.903828000,1.903828000,0,0,0
37,80.824000000,80.824000000,0.000000000,100.000000000,102.209902000,2.209902000,0,0,0
38,80.916000000,80.916000000,0.000000000,100.000000000,95.435401000,-4.564599000,0,0,0
39,81.017000000,81.017000000,0.000000000,100.000000000,96.525814000,-3.474186000,0,0,0
40,81.117000000,81.117000000,0.000000000,100.000000000,95.420485000,-4.579515000,0,0,0
41,81.217000000,81.217000000,0.000000000,100.000000000,105.886218000,5.886218000,0,0,0
42,81.318000000,81.318000000,0.000000000,100.000000000,101.924658000,1.924658000,0,0,0
43,81.416000000,81.416000000,0.000000000,100.000000000,96.070475000,-3.929525000,0,0,0
44,81.516000000,81.516000000,0.000000000,100.000000000,102.239702000,2.239702000,0,0,0
45,81.617000000,81.617000000,0.000000000,100.000000000,102.595293000,2.595293000,0,0,0
46,81.717000000,81.717000000,0.000000000,100.000000000,98.020922000,-1.979078000,0,0,0
47,81.817000000,81.817000000,0.000000000,100.000000000,102.404500000,2.404500000,0,0,0
48,81.916000000,81.916000000,0.000000000,100.000000000,98.753946000,-1.246054000,0,0,0
49,82.016000000,82.016000000,0.000000000,100.000000000,99.587636000,-0.412364000,0,0,0
50,82.116000000,82.116000000,0.000000000,100.000000000,96.546864000,-3.453136000,0,0,0
51,82.216000000,82.216000000,0.000000000,100.000000000,98.461200000,-1.538800000,0,0,0
52,82.316000000,82.316000000,0.000000000,100.000000000,104.716575000,4.716575000,0,0,0
53,82.416000000,82.416000000,0.000000000,100.000000000,97.170103000,-2.829897000,0,0,0
54,82.517000000,82.517000000,0.000000000,100.000000000,101.915722000,1.915722000,0,0,0
55,82.616000000,82.616000000,0.000000000,100.000000000,101.876640000,1.876640000,0,0,0
56,82.717000000,82.717000000,0.000000000,100.000000000,97.162478000,-2.837522000,0,0,0
57,82.817000000,82.817000000,0.000000000,100.000000000,102.555779000,2.555779000,0,0,0
58,82.916000000,82.916000000,0.000000000,100.000000000,100.074983000,0.074983000,0,0,0
59,83.016000000,83.016000000,0.000000000,100.000000000,103.998906000,3.998906000,0,0,0
60,83.116000000,83.116000000,0.000000000,100.000000000,100.251099000,0.251099000,0,0,0
61,83.218000000,83.218000000,0.000000000,100.000000000,101.873708000,1.873708000,0,0,0
62,83.317000000,83.317000000,0.000000000,100.000000000,97.082074000,-2.917926000,0,0,0
63,83.417000000,83.417000000,0.000000000,100.000000000,97.003101000,-2.996899000,0,0,0
64,83.519000000,83.519000000,0.000000000,100.000000000,108.435011000,8.435011000,0,0,0
65,83.625000000,83.625000000,0.000000000,100.000000000,105.626914000,5.626914000,0,0,0
66,83.716000000,83.716000000,0.000000000,100.000000000,101.642827000,1.642827000,0,0,0
67,83.830000000,83.830000000,0.000000000,100.000000000,119.273465000,19.273465000,0,0,0
68,84.019000000,84.019000000,0.000000000,100.000000000,185.990702000,85.990702000,0,0,0
69,84.122000000,84.122000000,0.000000000,100.000000000,99.008017000,-0.991983000,0,0,0
70,84.219000000,84.219000000,0.000000000,100.000000000,100.377888000,0.377888000,0,0,0
71,84.323000000,84.323000000,0.000000000,100.000000000,99.902672000,-0.097328000,0,0,0
72,84.419000000,84.419000000,0.000000000,100.000000000,110.199817000,10.199817000,0,0,0
73,84.521000000,84.521000000,0.000000000,100.000000000,105.652716000,5.652716000,0,0,0
74,84.620000000,84.620000000,0.000000000,100.000000000,92.127090000,-7.872910000,0,0,0
75,84.719000000,84.719000000,0.000000000,100.000000000,100.019856000,0.019856000,0,0,0
76,84.819000000,84.819000000,0.000000000,100.000000000,96.559522000,-3.440478000,0,0,0
77,84.919000000,84.919000000,0.000000000,100.000000000,103.569591000,3.569591000,0,0,0
78,85.019000000,85.019000000,0.000000000,100.000000000,100.577502000,0.577502000,0,0,0
79,85.123000000,85.123000000,0.000000000,100.000000000,108.073962000,8.073962000,0,0,0
80,85.219000000,85.219000000,0.000000000,100.000000000,96.174269000,-3.825731000,0,0,0
81,85.323000000,85.323000000,0.000000000,100.000000000,96.220713000,-3.779287000,0,0,0
82,85.419000000,85.419000000,0.000000000,100.000000000,99.521506000,-0.478494000,0,0,0
83,85.522000000,85.522000000,0.000000000,100.000000000,98.797733000,-1.202267000,0,0,0
84,85.619000000,85.619000000,0.000000000,100.000000000,100.355917000,0.355917000,0,0,0
85,85.719000000,85.719000000,0.000000000,100.000000000,99.680257000,-0.319743000,0,0,0
