event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,30.960000000,31.946000000,986.000000000,100.000000000,-1.000000000,-1.000000000,1000000,1000060,60
1,32.004000000,33.009000000,1005.000000000,100.000000000,1059.356434000,959.356434000,1000000,1000059,59
2,33.045000000,34.022000000,977.000000000,100.000000000,1033.936006000,933.936006000,1000000,1000057,57
3,34.054000000,35.053000000,999.000000000,100.000000000,1035.685081000,935.685081000,1000000,1000059,59
4,35.103000000,36.099000000,996.000000000,100.000000000,1052.333007000,952.333007000,1000000,1000056,56
5,36.133000000,37.134000000,1001.000000000,100.000000000,1037.248429000,937.248429000,1000000,1000056,56
6,37.176000000,38.173000000,997.000000000,100.000000000,1043.151010000,943.151010000,1000000,1000069,69
7,38.201000000,39.205000000,1004.000000000,100.000000000,1033.880638000,933.880638000,1000000,1000025,25
8,39.245000000,40.237000000,992.000000000,100.000000000,1043.171426000,943.171426000,1000000,1000057,57
9,40.271000000,41.265000000,994.000000000,100.000000000,1032.251146000,932.251146000,1000000,1000061,61
10,41.290000000,42.285000000,995.000000000,100.000000000,1035.619800000,935.619800000,1000000,1000058,58
11,42.331000000,43.309000000,978.000000000,100.000000000,1048.323691000,948.323691000,1000000,1000060,60
12,43.358000000,44.359000000,1001.000000000,100.000000000,1045.416397000,945.416397000,1000000,1000062,62
13,44.399000000,45.393000000,994.000000000,100.000000000,1040.268183000,940.268183000,1000000,1000060,60
14,45.450000000,46.435000000,985.000000000,100.000000000,1054.659431000,954.659431000,1000000,1000060,60
15,46.472000000,47.470000000,998.000000000,100.000000000,1036.270671000,936.270671000,1000000,1000058,58
16,47.522000000,48.523000000,1001.000000000,100.000000000,1052.460408000,952.460408000,1000000,1000062,62
17,48.567000000,49.556000000,989.000000000,100.000000000,1043.452278000,943.452278000,1000000,1000089,89
18,49.606000000,50.600000000,994.000000000,100.000000000,1050.124278000,950.124278000,1000000,1000066,66
19,50.630000000,51.638000000,1008.000000000,100.000000000,1033.527556000,933.527556000,1000000,1000057,57
20,51.679000000,52.671000000,992.000000000,100.000000000,1044.788308000,944.788308000,1000000,1000410,410
21,52.714000000,53.705000000,991.000000000,100.000000000,1045.656597000,945.656597000,1000000,1000058,58
22,53.740000000,54.746000000,1006.000000000,100.000000000,1043.756723000,943.756723000,1000000,1000059,59
23,54.778000000,55.768000000,990.000000000,100.000000000,1032.859928000,932.859928000,1000000,1000599,599
24,55.834000000,56.833000000,999.000000000,100.000000000,1068.665048000,968.665048000,1000000,1000058,58
25,56.870000000,57.864000000,994.000000000,100.000000000,1037.666513000,937.666513000,1000000,1000057,57
26,57.909000000,58.897000000,988.000000000,100.000000000,1046.721325000,946.721325000,1000000,1000056,56
27,58.898000000,59.891000000,993.000000000,100.000000000,1001.056548000,901.056548000,1000000,1000680,680
28,59.892000000,60.887000000,995.000000000,100.000000000,1003.099531000,903.099531000,1000000,1000061,61
29,60.888000000,61.879000000,991.000000000,100.000000000,1000.855281000,900.855281000,1000000,1000060,60
30,61.882000000,62.878000000,996.000000000,100.000000000,1005.155351000,905.155351000,1000000,1000016,16
31,62.878000000,63.860000000,982.000000000,100.000000000,1002.291704000,902.291704000,1000000,1000058,58
32,63.860000000,64.862000000,1002.000000000,100.000000000,1002.476625000,902.476625000,1000000,1000058,58
33,64.863000000,65.850000000,987.000000000,100.000000000,1000.884315000,900.884315000,1000000,1000056,56
34,65.850000000,66.838000000,988.000000000,100.000000000,1000.650573000,900.650573000,1000000,1000074,74
35,66.970000000,67.964000000,994.000000000,100.000000000,1138.591374000,1038.591374000,1000000,1000058,58
36,68.028000000,69.033000000,1005.000000000,100.000000000,1064.803160000,964.803160000,1000000,1000086,86
37,69.103000000,70.099000000,996.000000000,100.000000000,1070.174856000,970.174856000,1000000,1000059,59
38,70.183000000,71.167000000,984.000000000,100.000000000,1083.104861000,983.104861000,1000000,1000072,72
39,71.230000000,72.220000000,990.000000000,100.000000000,1058.120710000,958.120710000,1000000,1000059,59
40,72.280000000,73.267000000,987.000000000,100.000000000,1060.628597000,960.628597000,1000000,1000118,118
41,73.347000000,74.341000000,994.000000000,100.000000000,1080.559704000,980.559704000,1000000,1000063,63
42,74.399000000,75.387000000,988.000000000,100.000000000,1057.180799000,957.180799000,1000000,1000066,66
43,75.454000000,76.457000000,1003.000000000,100.000000000,1067.086399000,967.086399000,1000000,1000028,28
44,76.520000000,77.522000000,1002.000000000,100.000000000,1068.965981000,968.965981000,1000000,1000070,70
45,77.560000000,78.560000000,1000.000000000,100.000000000,1042.306098000,942.306098000,1000000,1000076,76
46,78.616000000,79.614000000,998.000000000,100.000000000,1054.945721000,954.945721000,1000000,1000379,379
47,79.670000000,80.660000000,990.000000000,100.000000000,1059.728778000,959.728778000,1000000,1000058,58
48,80.728000000,81.721000000,993.000000000,100.000000000,1070.763091000,970.763091000,1000000,1000059,59
49,81.770000000,82.770000000,1000.000000000,100.000000000,1048.183469000,948.183469000,1000000,1000062,62
50,82.814000000,83.817000000,1003.000000000,100.000000000,1044.881758000,944.881758000,1000000,1000025,25
51,83.863000000,84.860000000,997.000000000,100.000000000,1052.006473000,952.006473000,1000000,1000070,70
52,84.914000000,85.911000000,997.000000000,100.000000000,1051.816694000,951.816694000,1000000,1000057,57
53,85.948000000,86.939000000,991.000000000,100.000000000,1038.631898000,938.631898000,1000000,1000061,61
54,87.007000000,88.014000000,1007.000000000,100.000000000,1069.373006000,969.373006000,1000000,1000058,58
55,88.111000000,89.098000000,987.000000000,100.000000000,1100.067191000,1000.067191000,1000000,1001376,1376
56,89.164000000,90.169000000,1005.000000000,100.000000000,1066.849023000,966.849023000,1000000,1000058,58
57,90.217000000,91.210000000,993.000000000,100.000000000,1049.706350000,949.706350000,1000000,1003387,3387
58,91.269000000,92.267000000,998.000000000,100.000000000,1060.707887000,960.707887000,1000000,1000163,163
59,92.351000000,93.341000000,990.000000000,100.000000000,1089.444322000,989.444322000,1000000,1000061,61
60,93.432000000,94.432000000,1000.000000000,100.000000000,1095.032592000,995.032592000,1000000,1002146,2146
61,94.541000000,95.546000000,1005.000000000,100.000000000,1110.843569000,1010.843569000,1000000,1000057,57
62,95.619000000,96.616000000,997.000000000,100.000000000,1075.995451000,975.995451000,1000000,1000059,59
63,96.693000000,97.690000000,997.000000000,100.000000000,1081.975221000,981.975221000,1000000,1000059,59
