cycle_start_time_sec,planner_call_time_sec,command_ready_time_sec,command_publish_time_sec,hook,requested_delay_us,measured_delay_us,delay_error_us,scheduling_displacement_ms,planner_computation_us,command_ready_latency_ms,command_publish_latency_ms,valid_command,cmd_linear_x,cmd_linear_y,cmd_angular_z
20.283000000,20.380000000,20.413000000,20.414000000,inside_local_costmap_mutex,100000,100504,504,97.000000000,31457,130.000000000,131.000000000,1,0.127368420,0.000000654,0.205137879
20.414000000,20.513000000,20.542000000,20.542000000,inside_local_costmap_mutex,100000,100153,153,99.000000000,29492,128.000000000,128.000000000,1,0.110161789,0.000000000,0.254388928
20.542000000,20.643000000,20.667000000,20.672000000,inside_local_costmap_mutex,100000,100424,424,101.000000000,25566,125.000000000,130.000000000,1,-0.111783303,0.000000000,-0.025409913
20.673000000,20.771000000,20.794000000,20.794000000,inside_local_costmap_mutex,100000,100320,320,98.000000000,25635,121.000000000,121.000000000,1,0.113282859,0.000000000,0.615096033
20.794000000,20.897000000,20.921000000,20.921000000,inside_local_costmap_mutex,100000,100485,485,103.000000000,28102,127.000000000,127.000000000,1,0.127368420,0.000000000,0.228422478
20.921000000,21.022000000,21.046000000,21.046000000,inside_local_costmap_mutex,100000,100526,526,101.000000000,24702,125.000000000,125.000000000,1,0.114334621,0.000000000,0.245799586
21.046000000,21.147000000,21.174000000,21.174000000,inside_local_costmap_mutex,100000,100311,311,101.000000000,25800,128.000000000,128.000000000,1,0.120186821,0.000019196,0.246901453
21.174000000,21.278000000,21.307000000,21.307000000,inside_local_costmap_mutex,100000,100585,585,104.000000000,29894,133.000000000,133.000000000,1,0.219999999,0.000000000,0.524278939
21.307000000,21.411000000,21.431000000,21.433000000,inside_local_costmap_mutex,100000,100151,151,104.000000000,24497,124.000000000,126.000000000,1,0.219999999,0.000000000,0.709901452
21.434000000,21.525000000,21.580000000,21.580000000,inside_local_costmap_mutex,100000,100101,101,91.000000000,51425,146.000000000,146.000000000,1,0.125029221,0.000000000,1.011108637
21.580000000,21.684000000,21.723000000,21.723000000,inside_local_costmap_mutex,100000,100171,171,104.000000000,44781,143.000000000,143.000000000,1,0.219999999,0.000000000,1.220088840
21.723000000,21.826000000,21.862000000,21.862000000,inside_local_costmap_mutex,100000,100966,966,103.000000000,40647,139.000000000,139.000000000,1,0.219999999,0.000000000,1.194120169
21.862000000,21.962000000,22.036000000,22.036000000,inside_local_costmap_mutex,100000,100274,274,100.000000000,75403,174.000000000,174.000000000,1,0.219999999,0.000000000,0.940071762
22.036000000,22.133000000,22.178000000,22.178000000,inside_local_costmap_mutex,100000,100281,281,97.000000000,42346,142.000000000,142.000000000,1,0.219999999,0.000000000,0.733971894
22.179000000,22.281000000,22.314000000,22.314000000,inside_local_costmap_mutex,100000,100411,411,102.000000000,32080,135.000000000,135.000000000,1,0.206495687,0.000000000,0.628352702
22.314000000,22.412000000,22.440000000,22.440000000,inside_local_costmap_mutex,100000,100146,146,98.000000000,29013,126.000000000,126.000000000,1,0.219999999,0.000000000,0.542144835
22.441000000,22.550000000,22.573000000,22.573000000,inside_local_costmap_mutex,100000,100226,226,109.000000000,27918,132.000000000,132.000000000,1,0.206588924,0.000000000,0.483401626
22.573000000,22.668000000,22.698000000,22.698000000,inside_local_costmap_mutex,100000,100155,155,95.000000000,29277,125.000000000,125.000000000,1,0.219999999,0.000000000,0.228849918
22.698000000,22.793000000,22.822000000,22.822000000,inside_local_costmap_mutex,100000,100238,238,95.000000000,30823,124.000000000,124.000000000,1,0.219999999,0.000000000,0.185235411
22.822000000,22.924000000,22.940000000,22.940000000,inside_local_costmap_mutex,100000,100558,558,102.000000000,27042,118.000000000,118.000000000,1,0.219999999,0.000000000,0.094694771
22.940000000,23.051000000,23.080000000,23.080000000,inside_local_costmap_mutex,100000,100468,468,111.000000000,30082,140.000000000,140.000000000,1,0.219999999,0.000000000,0.135178030
23.080000000,23.177000000,23.207000000,23.210000000,inside_local_costmap_mutex,100000,100537,537,97.000000000,31020,127.000000000,130.000000000,1,0.219999999,0.000000000,0.012050753
23.210000000,23.310000000,23.330000000,23.332000000,inside_local_costmap_mutex,100000,100247,247,100.000000000,22852,120.000000000,122.000000000,1,0.206813484,0.000000000,0.017555891
23.332000000,23.429000000,23.464000000,23.464000000,inside_local_costmap_mutex,100000,100333,333,97.000000000,32279,132.000000000,132.000000000,1,0.219999999,0.000000000,-0.091586769
23.464000000,23.562000000,23.579000000,23.579000000,inside_local_costmap_mutex,100000,100135,135,98.000000000,28196,115.000000000,115.000000000,1,0.206891730,0.000031879,-0.100309581
