INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
42590457,42590457,0,0,8,42590457,10598311800,0,0,0,0,42590457,0,42590457,10598310841,0,959,0,0,0.000,-1.800,0.000,2.376
42592956,42592956,0,0,6,42592956,10598314751,2499,2951,0,451,42592956,2499,42592956,10598314482,0,269,0,0,0.000,-1.805,0.000,2.380
42595455,42595455,0,0,9,42595455,10598319028,2499,4277,0,1777,42595455,2499,42595455,10598318711,0,317,0,0,0.000,-1.810,0.000,2.385
42597954,42597954,0,0,11,42597954,10598322949,2499,3921,0,1421,42597954,2499,42597121,10598321799,833,1150,0,0,0.000,-1.814,0.000,2.389
42600453,42600453,0,0,8,42600453,10598328196,2499,5247,0,2747,42600453,2499,42600453,10598327452,0,744,0,0,0.000,-1.809,0.000,2.383
42603785,42603785,0,0,7,42603785,10598333639,3332,5443,832,2943,42603785,3332,42603785,10598333526,0,113,0,0,0.000,-1.815,0.000,2.391
42605451,42605451,0,0,8,42605451,10598336656,1666,3017,0,517,42605451,1666,42605451,10598336121,0,535,0,0,0.000,-1.817,0.000,2.394
42607950,42607950,0,0,16,42607950,10598340886,2499,4230,0,1730,42607950,2499,42607117,10598339193,833,1693,0,0,0.000,-1.819,0.000,2.399
42610449,42610449,0,0,8,42610449,10598347368,2499,6482,0,3982,42610449,2499,42610449,10598346432,0,936,0,0,0.000,-1.814,0.000,2.391
42612948,42612948,0,0,9,42612948,10598352388,2499,5020,0,2520,42612948,2499,42612948,10598351342,0,1046,0,0,0.000,-1.818,0.000,2.394
42615447,42615447,0,0,9,42615447,10598357521,2499,5133,0,2633,42615447,2499,42615447,10598356596,0,925,0,0,0.000,-1.821,0.000,2.400
42617946,42617946,0,0,7,42617946,10598370465,2499,12944,0,10444,42617946,2499,42617946,10598369628,0,837,0,0,0.000,-1.825,0.000,2.403
42620445,42620445,0,0,6,42620445,10598374059,2499,3594,0,1094,42620445,2499,42620445,10598373477,0,582,0,0,0.000,-1.822,0.000,2.396
42622944,42622944,0,0,7,42622944,10598378757,2499,4698,0,2198,42622944,2499,42622944,10598377786,0,971,0,0,0.000,-1.825,0.000,2.401
42625443,42625443,0,0,6,42625443,10598382227,2499,3470,0,970,42625443,2499,42625443,10598381637,0,590,0,0,0.000,-1.830,0.000,2.405
42627942,42627942,0,0,10,42627942,10598385638,2499,3411,0,911,42627942,2499,42627942,10598385020,0,618,0,0,0.000,-1.833,0.000,2.410
42630441,42630441,0,0,6,42630441,10598389811,2499,4173,0,1673,42630441,2499,42630441,10598388868,0,943,0,0,0.000,-1.829,0.000,2.405
42632940,42632940,0,0,5,42632940,10598393851,2499,4040,0,1540,42632940,2499,42632940,10598392613,0,1238,0,0,0.000,-1.832,0.000,2.408
42635439,42635439,0,833,6,42635439,10598398930,2499,5079,0,2579,42635439,2499,42635439,10598397459,0,1471,0,0,0.000,-1.838,0.000,2.413
42637938,42637938,0,0,6,42637938,10598401622,2499,2692,0,192,42637938,2499,42637938,10598401620,0,2,0,0,0.000,-1.840,0.000,2.417
42641270,42641270,0,0,6,42641270,10598407942,3332,6320,832,3820,42641270,3332,42641270,10598407857,0,85,0,0,0.000,-1.837,0.000,2.413
42643769,42643769,0,833,7,42643769,10598412978,2499,5036,0,2536,42643769,2499,42643769,10598411776,0,1202,0,0,0.000,-1.839,0.000,2.417
42646268,42646268,0,0,12,42646268,10598416535,2499,3557,0,1057,42646268,2499,42646268,10598415486,0,1049,0,0,0.000,-1.844,0.000,2.424
42648767,42648767,0,0,6,42648767,10598420695,2499,4160,0,1660,42648767,2499,42648767,10598419284,0,1411,0,0,0.000,-1.846,0.000,2.427
42651266,42651266,0,833,8,42651266,10598434731,2499,14036,0,11536,42651266,2499,42651266,10598433233,0,1498,0,0,0.000,-1.843,0.000,2.424
42653765,42653765,0,833,7,42653765,10598439330,2499,4599,0,2099,42653765,2499,42653765,10598437970,0,1360,0,0,0.000,-1.846,0.000,2.429
42656264,42656264,0,0,5,42656264,10598441951,2499,2621,0,121,42656264,2499,42656264,10598441950,0,1,0,0,0.000,-1.849,0.000,2.436
42659596,42659596,0,0,7,42659596,10598448332,3332,6381,832,3881,42659596,3332,42659596,10598447792,0,540,0,0,0.000,-1.853,0.000,2.441
42662095,42662095,0,0,5,42662095,10598452919,2499,4587,0,2087,42662095,2499,42662095,10598451894,0,1025,0,0,0.000,-1.850,0.000,2.437
42664594,42664594,0,0,8,42664594,10598456653,2499,3734,0,1234,42664594,2499,42664594,10598456644,0,9,0,0,0.000,-1.853,0.000,2.440
42667093,42667093,0,0,7,42667093,10598461868,2499,5215,0,2715,42667093,2499,42667093,10598460806,0,1062,0,0,0.000,-1.857,0.000,2.446
42669592,42669592,0,0,10,42669592,10598464680,2499,2812,0,312,42669592,2499,42669592,10598464672,0,8,0,0,0.000,-1.859,0.000,2.449
42672924,42672924,0,0,7,42672924,10598471247,3332,6567,832,4067,42672924,3332,42672924,10598470036,0,1211,0,0,0.000,-1.857,0.000,2.444
42675423,42675423,0,0,6,42675423,10598475016,2499,3769,0,1269,42675423,2499,42675423,10598474029,0,987,0,0,0.000,-1.859,0.000,2.451
42677922,42677922,0,0,11,42677922,10598479543,2499,4527,0,2027,42677922,2499,42677922,10598478277,0,1266,0,0,0.000,-1.861,0.000,2.454
42680421,42680421,0,0,7,42680421,10598483771,2499,4228,0,1728,42680421,2499,42680421,10598482754,0,1017,0,0,0.000,-1.865,0.000,2.460
42682920,42682920,0,0,7,42682920,10598497959,2499,14188,0,11688,42682920,2499,42682920,10598497490,0,469,0,0,0.000,-1.860,0.000,2.455
42685419,42685419,0,0,8,42685419,10598502647,2499,4688,0,2188,42685419,2499,42685419,10598501820,0,827,0,0,0.000,-1.864,0.000,2.461
42688751,42688751,0,0,7,42688751,10598509005,3332,6358,832,3858,42688751,3332,42688751,10598508874,0,131,0,0,0.000,-1.869,0.000,2.469
42691250,42691250,0,0,9,42691250,10598513037,2499,4032,0,1532,42691250,2499,42691250,10598513010,0,27,0,0,0.000,-1.874,0.000,2.474
42692916,42692916,0,0,11,42692916,10598516718,1666,3681,0,1181,42692916,1666,42692916,10598515679,0,1039,0,0,0.000,-1.868,0.000,2.466
42695415,42695415,0,0,10,42695415,10598521184,2499,4466,0,1966,42695415,2499,42695415,10598520017,0,1167,0,0,0.000,-1.872,0.000,2.472
42697914,42697914,0,0,8,42697914,10598525632,2499,4448,0,1948,42697914,2499,42697914,10598524145,0,1487,0,0,0.000,-1.875,0.000,2.478
42700413,42700413,0,0,10,42700413,10598529694,2499,4062,0,1562,42700413,2499,42700413,10598528908,0,786,0,0,0.000,-1.879,0.000,2.482
42702912,42702912,0,0,14,42702912,10598534839,2499,5145,0,2645,42702912,2499,42702912,10598533908,0,931,0,0,0.000,-1.874,0.000,2.477
