INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
70417655,70417655,0,0,6,70417655,20561930310,0,0,0,0,70417655,0,70416822,20561929167,833,1143,0,3,0.000,-2.936,0.000,3.789
70420987,70420987,0,0,8,70420987,20561936168,3332,5858,832,3358,70420987,3332,70420987,20561935578,0,590,0,3,0.000,-2.941,0.000,3.797
70423486,70423486,0,0,6,70423486,20561939605,2499,3437,0,937,70423486,2499,70423486,20561939022,0,583,0,3,0.000,-2.933,0.000,3.786
70426818,70426818,0,0,7,70426818,20561943609,3332,4004,832,1504,70426818,3332,70425985,20561942483,833,1126,0,3,0.000,-2.936,0.000,3.789
70428484,70428484,0,0,11,70428484,20561947723,1666,4114,0,1614,70428484,1666,70428484,20561946742,0,981,0,3,0.000,-2.941,0.000,3.796
70430983,70430983,0,0,7,70430983,20561951597,2499,3874,0,1374,70430983,2499,70430983,20561951008,0,589,0,3,0.000,-2.944,0.000,3.801
70433482,70433482,0,0,8,70433482,20561955488,2499,3891,0,1391,70433482,2499,70433482,20561954602,0,886,0,3,0.000,-2.935,0.000,3.791
70435981,70435981,0,833,8,70435981,20561959651,2499,4163,0,1663,70435981,2499,70435981,20561958256,0,1395,0,3,0.000,-2.938,0.000,3.796
70438480,70438480,0,833,9,70438480,20561963883,2499,4232,0,1732,70438480,2499,70438480,20561962704,0,1179,0,3,0.000,-2.944,0.000,3.803
70440979,70440979,0,0,9,70440979,20561967346,2499,3463,0,963,70440979,2499,70440979,20561966684,0,662,0,3,0.000,-2.948,0.000,3.808
70443478,70443478,0,0,9,70443478,20561971270,2499,3924,0,1424,70443478,2499,70443478,20561970751,0,519,0,3,0.000,-2.940,0.000,3.797
70445977,70445977,0,0,7,70445977,20561975824,2499,4554,0,2054,70445977,2499,70445977,20561975207,0,617,0,3,0.000,-2.942,0.000,3.802
70448476,70448476,0,0,4,70448476,20561979283,2499,3459,0,959,70448476,2499,70448476,20561978696,0,587,0,3,0.000,-2.948,0.000,3.808
70450975,70450975,0,0,6,70450975,20561982742,2499,3459,0,959,70450975,2499,70450975,20561982158,0,584,0,3,0.000,-2.952,0.000,3.811
70453474,70453474,0,0,6,70453474,20561986165,2499,3423,0,923,70453474,2499,70453474,20561985593,0,572,0,3,0.000,-2.943,0.000,3.803
70455973,70455973,0,0,5,70455973,20561989605,2499,3440,0,940,70455973,2499,70455973,20561988967,0,638,0,3,0.000,-2.947,0.000,3.809
70459305,70459305,0,0,3,70459305,20561994024,3332,4419,832,1919,70459305,3332,70458472,20561992711,833,1313,0,3,0.000,-2.956,0.000,3.818
70460971,70460971,0,0,7,70460971,20561998315,1666,4291,0,1791,70460971,1666,70460971,20561996904,0,1411,0,3,0.000,-2.959,0.000,3.821
70463470,70463470,0,0,6,70463470,20562001048,2499,2733,0,233,70463470,2499,70463470,20562001047,0,1,0,3,0.000,-2.953,0.000,3.812
70466802,70466802,0,833,6,70466802,20562007469,3332,6421,832,3921,70466802,3332,70466802,20562006384,0,1085,0,3,0.000,-2.958,0.000,3.818
70470134,70470134,0,0,7,70470134,20562011372,3332,3903,832,1403,70470134,3332,70470134,20562011331,0,41,0,3,0.000,-2.967,0.000,3.828
70471800,70471800,0,0,9,70471800,20562015093,1666,3721,0,1221,70471800,1666,70471800,20562014099,0,994,0,3,0.000,-2.968,0.000,3.829
70474299,70474299,0,0,8,70474299,20562019313,2499,4220,0,1720,70474299,2499,70474299,20562018411,0,902,0,3,0.000,-2.948,0.000,3.805
70476798,70476798,0,0,11,70476798,20562023933,2499,4620,0,2120,70476798,2499,70476798,20562022402,0,1531,0,3,0.000,-2.951,0.000,3.810
70479297,70479297,0,833,7,70479297,20562027854,2499,3921,0,1421,70479297,2499,70479297,20562026766,0,1088,0,3,0.000,-2.956,0.000,3.817
70481796,70481796,0,0,9,70481796,20562031662,2499,3808,0,1308,70481796,2499,70481796,20562030567,0,1095,0,3,0.000,-2.959,0.000,3.822
70484295,70484295,0,0,7,70484295,20562035044,2499,3382,0,882,70484295,2499,70484295,20562034049,0,995,0,3,0.000,-2.942,0.000,3.798
70486794,70486794,0,0,6,70486794,20562038724,2499,3680,0,1180,70486794,2499,70486794,20562038148,0,576,0,3,0.000,-2.944,0.000,3.802
70489293,70489293,0,0,4,70489293,20562042078,2499,3354,0,854,70489293,2499,70489293,20562041502,0,576,0,3,0.000,-2.952,0.000,3.807
70491792,70491792,0,0,5,70491792,20562045740,2499,3662,0,1162,70491792,2499,70490959,20562044313,833,1427,0,3,0.000,-2.955,0.000,3.813
70494291,70494291,0,833,7,70494291,20562051400,2499,5660,0,3160,70494291,2499,70494291,20562050060,0,1340,0,3,0.000,-2.938,0.000,3.790
70496790,70496790,0,0,5,70496790,20562054325,2499,2925,0,425,70496790,2499,70496790,20562053751,0,574,0,3,0.000,-2.941,0.000,3.795
70499289,70499289,0,0,3,70499289,20562057716,2499,3391,0,891,70499289,2499,70499289,20562057113,0,603,0,3,0.000,-2.946,0.000,3.802
70501788,70501788,0,0,7,70501788,20562061370,2499,3654,0,1154,70501788,2499,70501788,20562060496,0,874,0,3,0.000,-2.950,0.000,3.805
70505120,70505120,0,0,10,70504287,20562065631,2499,4261,0,1761,70505120,3332,70504287,20562064102,0,1529,0,3,0.000,-2.933,0.000,3.783
70506786,70506786,0,833,6,70506786,20562069977,2499,4346,0,1846,70506786,1666,70506786,20562068710,0,1267,0,3,0.000,-2.937,0.000,3.787
