INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
49262787,49262787,0,0,8,49262787,10896054161,0,0,0,0,49262787,0,49262787,10896054052,0,109,0,1,0.000,-1.776,0.000,2.355
49265286,49265286,0,0,9,49265286,10896058887,2499,4726,0,2226,49265286,2499,49265286,10896058878,0,9,0,1,0.000,-1.769,0.000,2.348
49266952,49266952,0,0,10,49266952,10896063153,1666,4266,0,1766,49266952,1666,49266952,10896062136,0,1017,0,1,0.000,-1.770,0.000,2.350
49269451,49269451,0,0,12,49269451,10896066046,2499,2893,0,393,49269451,2499,49269451,10896065841,0,205,0,1,0.000,-1.775,0.000,2.354
49272783,49272783,0,0,9,49272783,10896072777,3332,6731,832,4231,49272783,3332,49272783,10896071370,0,1407,0,1,0.000,-1.779,0.000,2.358
49275282,49275282,0,0,8,49275282,10896076289,2499,3512,0,1012,49275282,2499,49275282,10896075750,0,539,0,1,0.000,-1.773,0.000,2.351
49277781,49277781,0,833,7,49277781,10896080762,2499,4473,0,1973,49277781,2499,49277781,10896079567,0,1195,0,1,0.000,-1.775,0.000,2.353
49280280,49280280,0,0,6,49280280,10896091119,2499,10357,0,7857,49280280,2499,49280280,10896090967,0,152,0,1,0.000,-1.779,0.000,2.358
49282779,49282779,0,0,8,49282779,10896095056,2499,3937,0,1437,49282779,2499,49282779,10896094281,0,775,0,1,0.000,-1.780,0.000,2.362
49285278,49285278,0,0,9,49285278,10896100170,2499,5114,0,2614,49285278,2499,49285278,10896099454,0,716,0,1,0.000,-1.776,0.000,2.355
49287777,49287777,0,0,8,49287777,10896106302,2499,6132,0,3632,49287777,2499,49287777,10896105520,0,782,0,1,0.000,-1.778,0.000,2.357
