cycle_start_time_sec,planner_call_time_sec,command_ready_time_sec,command_publish_time_sec,hook,requested_delay_us,measured_delay_us,delay_error_us,scheduling_displacement_ms,planner_computation_us,command_ready_latency_ms,command_publish_latency_ms,valid_command,cmd_linear_x,cmd_linear_y,cmd_angular_z
17.907000000,17.927000000,17.963000000,17.965000000,inside_local_costmap_mutex,20000,20143,143,20.000000000,38402,56.000000000,58.000000000,1,0.127368420,0.000000653,0.205137879
18.007000000,18.027000000,18.063000000,18.063000000,inside_local_costmap_mutex,20000,20239,239,20.000000000,38810,56.000000000,56.000000000,1,0.127368420,0.000000215,0.205159187
18.107000000,18.121000000,18.153000000,18.153000000,inside_local_costmap_mutex,20000,20200,200,14.000000000,29589,46.000000000,46.000000000,1,-0.145935073,0.000000000,-0.155887157
18.207000000,18.227000000,18.250000000,18.250000000,inside_local_costmap_mutex,20000,20309,309,20.000000000,28269,43.000000000,43.000000000,1,0.142268464,0.000000000,0.498583257
18.308000000,18.327000000,18.368000000,18.372000000,inside_local_costmap_mutex,20000,22693,2693,19.000000000,41722,60.000000000,64.000000000,1,0.129230693,0.000000000,0.270753235
18.407000000,18.425000000,18.449000000,18.451000000,inside_local_costmap_mutex,20000,20592,592,18.000000000,25810,42.000000000,44.000000000,1,0.120694749,0.000000000,0.276566535
18.507000000,18.530000000,18.574000000,18.576000000,inside_local_costmap_mutex,20000,20139,139,23.000000000,39503,67.000000000,69.000000000,1,0.124005824,0.000000000,0.333311051
18.607000000,18.628000000,18.644000000,18.644000000,inside_local_costmap_mutex,20000,20057,57,21.000000000,19397,37.000000000,37.000000000,1,-0.122533567,0.000000000,0.459687293
18.707000000,18.723000000,18.752000000,18.752000000,inside_local_costmap_mutex,20000,20195,195,16.000000000,25230,45.000000000,45.000000000,1,0.219999999,0.000000000,0.427545816
18.807000000,18.823000000,18.846000000,18.846000000,inside_local_costmap_mutex,20000,20070,70,16.000000000,27153,39.000000000,39.000000000,1,0.131561369,0.000060869,-0.157068431
18.908000000,18.925000000,18.953000000,18.953000000,inside_local_costmap_mutex,20000,20362,362,17.000000000,24805,45.000000000,45.000000000,1,0.219999999,0.000000000,0.425100744
19.009000000,19.030000000,19.047000000,19.048000000,inside_local_costmap_mutex,20000,20225,225,21.000000000,20873,38.000000000,39.000000000,1,0.116981432,0.000000000,0.221035436
19.107000000,19.125000000,19.143000000,19.145000000,inside_local_costmap_mutex,20000,20614,614,18.000000000,18440,36.000000000,38.000000000,1,0.219999999,0.000000000,0.497588247
19.207000000,19.229000000,19.261000000,19.262000000,inside_local_costmap_mutex,20000,20336,336,22.000000000,34144,54.000000000,55.000000000,1,0.219999999,0.000000000,0.465024352
19.307000000,19.326000000,19.342000000,19.342000000,inside_local_costmap_mutex,20000,20152,152,19.000000000,24164,35.000000000,35.000000000,1,0.110498652,0.000058346,-0.217072532
19.409000000,19.430000000,19.452000000,19.452000000,inside_local_costmap_mutex,20000,20268,268,21.000000000,27519,43.000000000,43.000000000,1,0.110845223,0.000016116,-0.216836736
19.508000000,19.531000000,19.557000000,19.559000000,inside_local_costmap_mutex,20000,20431,431,23.000000000,28715,49.000000000,51.000000000,1,-0.116501480,0.000129100,-0.211945459
19.607000000,19.624000000,19.646000000,19.649000000,inside_local_costmap_mutex,20000,20613,613,17.000000000,26042,39.000000000,42.000000000,1,0.142258450,0.000000000,0.319473356
19.707000000,19.722000000,19.752000000,19.752000000,inside_local_costmap_mutex,20000,20435,435,15.000000000,34992,45.000000000,45.000000000,1,0.134338185,0.000000000,0.354325414
19.807000000,19.831000000,19.865000000,19.865000000,inside_local_costmap_mutex,20000,20261,261,24.000000000,36877,58.000000000,58.000000000,1,0.146554843,0.000000000,0.534585238
19.908000000,19.923000000,19.961000000,19.961000000,inside_local_costmap_mutex,20000,20549,549,15.000000000,36879,53.000000000,53.000000000,1,0.113015398,0.000000000,0.675107241
20.008000000,20.028000000,20.071000000,20.071000000,inside_local_costmap_mutex,20000,20285,285,20.000000000,43431,63.000000000,63.000000000,1,0.201613441,0.000000000,1.004085660
20.107000000,20.126000000,20.132000000,20.132000000,inside_local_costmap_mutex,20000,20571,571,19.000000000,22274,25.000000000,25.000000000,1,0.219999999,0.000000000,0.960787177
20.207000000,20.228000000,20.257000000,20.257000000,inside_local_costmap_mutex,20000,20113,113,21.000000000,32688,50.000000000,50.000000000,1,0.204122990,0.000000000,0.765959442
20.308000000,20.328000000,20.363000000,20.363000000,inside_local_costmap_mutex,20000,20198,198,20.000000000,39197,55.000000000,55.000000000,1,0.205651626,0.000000000,1.069336534
20.408000000,20.430000000,20.464000000,20.464000000,inside_local_costmap_mutex,20000,20113,113,22.000000000,39267,56.000000000,56.000000000,1,0.219999999,0.000000000,1.237800717
20.508000000,20.531000000,20.587000000,20.587000000,inside_local_costmap_mutex,20000,20336,336,23.000000000,61375,79.000000000,79.000000000,1,0.219999999,0.000000000,1.158969879
20.607000000,20.626000000,20.730000000,20.730000000,inside_local_costmap_mutex,20000,20334,334,19.000000000,113811,123.000000000,123.000000000,1,0.219999999,0.000000000,1.033849239
20.730000000,20.764000000,20.844000000,20.844000000,inside_local_costmap_mutex,20000,29052,9052,34.000000000,78289,114.000000000,114.000000000,1,0.192594975,0.000000000,0.889972210
20.844000000,20.872000000,20.926000000,20.926000000,inside_local_costmap_mutex,20000,26142,6142,28.000000000,56025,82.000000000,82.000000000,1,0.219999999,0.000000000,0.811365843
20.926000000,20.948000000,20.988000000,20.988000000,inside_local_costmap_mutex,20000,20333,333,22.000000000,47396,62.000000000,62.000000000,1,0.219999999,0.000000000,0.585585415
21.011000000,21.037000000,21.078000000,21.078000000,inside_local_costmap_mutex,20000,23038,3038,26.000000000,49749,67.000000000,67.000000000,1,0.219999999,0.000000000,0.551102817
21.107000000,21.128000000,21.179000000,21.179000000,inside_local_costmap_mutex,20000,21979,1979,21.000000000,50313,72.000000000,72.000000000,1,0.206573173,0.000000000,0.478665024
21.207000000,21.231000000,21.270000000,21.270000000,inside_local_costmap_mutex,20000,21487,1487,24.000000000,39842,63.000000000,63.000000000,1,0.206549957,0.000000000,0.366947293
21.308000000,21.327000000,21.352000000,21.352000000,inside_local_costmap_mutex,20000,20254,254,19.000000000,24870,44.000000000,44.000000000,1,0.219999999,0.000000000,0.225004375
21.407000000,21.427000000,21.453000000,21.453000000,inside_local_costmap_mutex,20000,20024,24,20.000000000,29008,46.000000000,46.000000000,1,0.219999999,0.000000000,0.167905003
21.508000000,21.526000000,21.550000000,21.552000000,inside_local_costmap_mutex,20000,20356,356,18.000000000,29656,42.000000000,44.000000000,1,0.219999999,0.000000000,0.176177680
21.607000000,21.627000000,21.665000000,21.665000000,inside_local_costmap_mutex,20000,20420,420,20.000000000,33701,58.000000000,58.000000000,1,0.219999999,0.000000000,0.142806381
21.708000000,21.726000000,21.758000000,21.759000000,inside_local_costmap_mutex,20000,20481,481,18.000000000,35216,50.000000000,51.000000000,1,0.219999999,0.000000000,0.088227712
21.807000000,21.827000000,21.890000000,21.890000000,inside_local_costmap_mutex,20000,20543,543,20.000000000,63419,83.000000000,83.000000000,1,0.219999999,0.000000000,0.015227815
21.907000000,21.927000000,21.988000000,21.988000000,inside_local_costmap_mutex,20000,20857,857,20.000000000,60667,81.000000000,81.000000000,1,0.219999999,0.000000000,-0.001205350
22.010000000,22.030000000,22.059000000,22.059000000,inside_local_costmap_mutex,20000,20141,141,20.000000000,32350,49.000000000,49.000000000,1,0.219999999,0.000015644,0.006697776
22.107000000,22.126000000,22.157000000,22.157000000,inside_local_costmap_mutex,20000,20114,114,19.000000000,30938,50.000000000,50.000000000,1,0.206842676,0.000000000,-0.101962537
22.207000000,22.225000000,22.256000000,22.256000000,inside_local_costmap_mutex,20000,20149,149,18.000000000,28980,49.000000000,49.000000000,1,0.192669377,0.000035072,-0.107059583
22.307000000,22.326000000,22.353000000,22.353000000,inside_local_costmap_mutex,20000,20321,321,19.000000000,28722,46.000000000,46.000000000,1,0.206162244,0.000000000,0.027356245
22.407000000,22.428000000,22.457000000,22.457000000,inside_local_costmap_mutex,20000,20353,353,21.000000000,27633,50.000000000,50.000000000,1,0.219999999,0.000000000,-0.192233324
22.508000000,22.529000000,22.557000000,22.557000000,inside_local_costmap_mutex,20000,20578,578,21.000000000,32101,49.000000000,49.000000000,1,0.219999999,0.000079845,-0.144530132
22.607000000,22.627000000,22.653000000,22.653000000,inside_local_costmap_mutex,20000,20350,350,20.000000000,27083,46.000000000,46.000000000,1,0.219999999,0.000055839,-0.300651163
22.707000000,22.725000000,22.759000000,22.761000000,inside_local_costmap_mutex,20000,20475,475,18.000000000,33095,52.000000000,54.000000000,1,0.219999999,0.000111323,-0.334813029
22.808000000,22.831000000,22.865000000,22.865000000,inside_local_costmap_mutex,20000,20057,57,23.000000000,33088,57.000000000,57.000000000,1,0.219999999,0.000121759,-0.194692671
22.907000000,22.927000000,22.964000000,22.969000000,inside_local_costmap_mutex,20000,20158,158,20.000000000,40356,57.000000000,62.000000000,1,0.219999999,0.000122346,-0.326425284
23.008000000,23.027000000,23.045000000,23.045000000,inside_local_costmap_mutex,20000,20215,215,19.000000000,29452,37.000000000,37.000000000,1,0.219999999,0.000073497,-0.384620994
23.107000000,23.129000000,23.159000000,23.159000000,inside_local_costmap_mutex,20000,20102,102,22.000000000,33353,52.000000000,52.000000000,1,0.219999999,0.000191414,-0.340435237
23.207000000,23.229000000,23.254000000,23.254000000,inside_local_costmap_mutex,20000,20273,273,22.000000000,27638,47.000000000,47.000000000,1,0.219999999,0.000124047,-0.298997223
23.307000000,23.324000000,23.345000000,23.345000000,inside_local_costmap_mutex,20000,20197,197,17.000000000,25085,38.000000000,38.000000000,1,0.206983268,0.000109750,-0.290897280
23.407000000,23.425000000,23.459000000,23.462000000,inside_local_costmap_mutex,20000,20234,234,18.000000000,32113,52.000000000,55.000000000,1,0.206285238,0.000100935,-0.308281213
23.508000000,23.527000000,23.578000000,23.578000000,inside_local_costmap_mutex,20000,20233,233,19.000000000,49525,70.000000000,70.000000000,1,0.219999999,0.000109128,-0.217184618
23.607000000,23.627000000,23.649000000,23.649000000,inside_local_costmap_mutex,20000,20501,501,20.000000000,27640,42.000000000,42.000000000,1,0.219999999,0.000123479,-0.296640843
23.707000000,23.722000000,23.749000000,23.749000000,inside_local_costmap_mutex,20000,20217,217,15.000000000,30454,42.000000000,42.000000000,1,0.206916392,0.000112652,-0.272174060
23.808000000,23.829000000,23.871000000,23.871000000,inside_local_costmap_mutex,20000,20192,192,21.000000000,45891,63.000000000,63.000000000,1,0.219999999,0.000084014,-0.349330187
23.907000000,23.926000000,23.978000000,23.978000000,inside_local_costmap_mutex,20000,20410,410,19.000000000,49493,71.000000000,71.000000000,1,0.219999999,0.000095621,-0.264593214
24.007000000,24.027000000,24.051000000,24.051000000,inside_local_costmap_mutex,20000,20195,195,20.000000000,36321,44.000000000,44.000000000,1,0.219999999,0.000123458,-0.236899793
24.108000000,24.126000000,24.149000000,24.149000000,inside_local_costmap_mutex,20000,20124,124,18.000000000,25858,41.000000000,41.000000000,1,0.219999999,0.000115158,-0.305367202
24.207000000,24.227000000,24.262000000,24.262000000,inside_local_costmap_mutex,20000,20322,322,20.000000000,37347,55.000000000,55.000000000,1,0.219999999,0.000113214,-0.347695321
24.307000000,24.323000000,24.361000000,24.366000000,inside_local_costmap_mutex,20000,20284,284,16.000000000,38562,54.000000000,59.000000000,1,0.219999999,0.000128250,-0.258846492
24.408000000,24.427000000,24.461000000,24.461000000,inside_local_costmap_mutex,20000,20106,106,19.000000000,32818,53.000000000,53.000000000,1,0.219999999,0.000131080,-0.147182629
24.507000000,24.529000000,24.556000000,24.556000000,inside_local_costmap_mutex,20000,20465,465,22.000000000,31264,49.000000000,49.000000000,1,0.219999999,0.000050259,-0.268757224
