event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,2.080000000,3.072000000,3.072000000,992.000000000,100.000000000,-1.000000000,0.276175000,-1.000000000,-1.000000000,1000000,1000062,62
1,local_costmap,3.072000000,4.063000000,4.065000000,991.000000000,100.000000000,1000.346930000,2.083116000,1002.430046000,902.430046000,1000000,1000060,60
2,local_costmap,4.067000000,5.064000000,5.064000000,997.000000000,100.000000000,1000.743885000,1.575646000,1002.319531000,902.319531000,1000000,1000059,59
3,local_costmap,5.064000000,6.057000000,6.057000000,993.000000000,100.000000000,1000.232430000,1.736402000,1001.968832000,901.968832000,1000000,1000058,58
4,local_costmap,6.057000000,7.065000000,7.065000000,1008.000000000,100.000000000,1000.252970000,1.573964000,1001.826934000,901.826934000,1000000,1000058,58
5,local_costmap,7.065000000,8.064000000,8.066000000,999.000000000,100.000000000,1000.240456000,2.275815000,1002.516271000,902.516271000,1000000,1000066,66
6,local_costmap,8.073000000,9.065000000,9.067000000,992.000000000,100.000000000,1008.263038000,2.061954000,1010.324992000,910.324992000,1000000,1000076,76
7,local_costmap,9.069000000,10.062000000,10.064000000,993.000000000,100.000000000,1001.435406000,1.666989000,1003.102395000,903.102395000,1000000,1000059,59
8,local_costmap,10.064000000,11.055000000,11.058000000,991.000000000,100.000000000,1000.234962000,2.863624000,1003.098586000,903.098586000,1000000,1000059,59
9,local_costmap,11.060000000,12.057000000,12.057000000,997.000000000,100.000000000,1002.124003000,1.868769000,1003.992772000,903.992772000,1000000,1000064,64
10,local_costmap,12.060000000,13.047000000,13.047000000,987.000000000,100.000000000,1006.549489000,1.693313000,1008.242802000,908.242802000,1000000,1000060,60
11,local_costmap,13.047000000,14.042000000,14.045000000,995.000000000,100.000000000,1000.886081000,3.229292000,1004.115373000,904.115373000,1000000,1000060,60
12,local_costmap,14.047000000,15.041000000,15.041000000,994.000000000,100.000000000,1001.955111000,3.655454000,1005.610565000,905.610565000,1000000,1000057,57
13,local_costmap,15.044000000,16.036000000,16.036000000,992.000000000,100.000000000,1001.052511000,1.635223000,1002.687734000,902.687734000,1000000,1000057,57
14,local_costmap,16.036000000,17.029000000,17.029000000,993.000000000,100.000000000,1000.225537000,1.672029000,1001.897566000,901.897566000,1000000,1000057,57
15,local_costmap,17.029000000,18.020000000,18.020000000,991.000000000,100.000000000,1000.234756000,1.704733000,1001.939489000,901.939489000,1000000,1000069,69
16,local_costmap,18.020000000,19.017000000,19.017000000,997.000000000,100.000000000,1000.244484000,1.789005000,1002.033489000,902.033489000,1000000,1000057,57
17,local_costmap,19.017000000,20.016000000,20.016000000,999.000000000,100.000000000,1000.226530000,2.415569000,1002.642099000,902.642099000,1000000,1000066,66
18,local_costmap,20.016000000,21.018000000,21.018000000,1002.000000000,100.000000000,1000.384646000,1.907523000,1002.292169000,902.292169000,1000000,1000014,14
19,local_costmap,21.018000000,22.012000000,22.014000000,994.000000000,100.000000000,1000.333546000,1.965386000,1002.298932000,902.298932000,1000000,1000144,144
20,local_costmap,22.014000000,23.011000000,23.011000000,997.000000000,100.000000000,1000.252580000,1.736491000,1001.989071000,901.989071000,1000000,1000060,60
21,local_costmap,23.011000000,24.009000000,24.011000000,998.000000000,100.000000000,1000.249300000,1.764255000,1002.013555000,902.013555000,1000000,1000059,59
22,local_costmap,24.011000000,25.002000000,25.040000000,991.000000000,100.000000000,1000.224661000,37.693251000,1037.917912000,937.917912000,1000000,1000059,59
23,local_costmap,25.040000000,26.016000000,26.016000000,976.000000000,100.000000000,1000.271303000,1.780436000,1002.051739000,902.051739000,1000000,1000061,61
24,local_costmap,26.016000000,27.010000000,27.024000000,994.000000000,100.000000000,1000.429018000,15.585837000,1016.014855000,916.014855000,1000000,1000062,62
25,local_costmap,27.024000000,28.020000000,28.020000000,996.000000000,100.000000000,1000.224661000,1.803545000,1002.028206000,902.028206000,1000000,1000058,58
26,local_costmap,28.020000000,29.007000000,29.008000000,987.000000000,100.000000000,1000.230305000,2.547338000,1002.777643000,902.777643000,1000000,1000060,60
27,local_costmap,29.008000000,30.006000000,30.006000000,998.000000000,100.000000000,1000.626041000,2.262375000,1002.888416000,902.888416000,1000000,1000065,65
28,local_costmap,30.006000000,30.995000000,31.002000000,989.000000000,100.000000000,1001.956485000,6.367369000,1008.323854000,908.323854000,1000000,1001616,1616
29,local_costmap,31.002000000,31.992000000,32.007000000,990.000000000,100.000000000,1000.225626000,18.424076000,1018.649702000,918.649702000,1000000,1000060,60
30,local_costmap,32.007000000,33.005000000,33.015000000,998.000000000,100.000000000,1000.294255000,9.879690000,1010.173945000,910.173945000,1000000,1000097,97
31,local_costmap,33.016000000,34.015000000,34.017000000,999.000000000,100.000000000,1000.446226000,2.009108000,1002.455334000,902.455334000,1000000,1000057,57
32,local_costmap,34.018000000,35.009000000,35.012000000,991.000000000,100.000000000,1000.536108000,5.819942000,1006.356050000,906.356050000,1000000,1000177,177
33,local_costmap,35.013000000,36.004000000,36.011000000,991.000000000,100.000000000,1000.552198000,6.734128000,1007.286326000,907.286326000,1000000,1000057,57
34,local_costmap,36.012000000,37.004000000,37.008000000,992.000000000,100.000000000,1000.273548000,3.248641000,1003.522189000,903.522189000,1000000,1000063,63
35,local_costmap,37.008000000,37.990000000,38.012000000,982.000000000,100.000000000,1000.238148000,25.722290000,1025.960438000,925.960438000,1000000,1000059,59
36,local_costmap,38.012000000,39.007000000,39.015000000,995.000000000,100.000000000,1000.241452000,9.583058000,1009.824510000,909.824510000,1000000,1000065,65
37,local_costmap,39.015000000,40.012000000,40.017000000,997.000000000,100.000000000,1000.311664000,6.747811000,1007.059475000,907.059475000,1000000,1000097,97
38,local_costmap,40.017000000,41.022000000,41.025000000,1005.000000000,100.000000000,1008.320474000,3.178527000,1011.499001000,911.499001000,1000000,1008077,8077
39,local_costmap,41.025000000,42.023000000,42.025000000,998.000000000,100.000000000,1000.255431000,1.971890000,1002.227321000,902.227321000,1000000,1000062,62
40,local_costmap,42.025000000,43.013000000,43.013000000,988.000000000,100.000000000,1000.400841000,1.975321000,1002.376162000,902.376162000,1000000,1000057,57
41,local_costmap,43.013000000,44.003000000,44.034000000,990.000000000,100.000000000,1000.256940000,30.373885000,1030.630825000,930.630825000,1000000,1000066,66
42,local_costmap,44.034000000,45.015000000,45.015000000,981.000000000,100.000000000,1000.947151000,1.999591000,1002.946742000,902.946742000,1000000,1000059,59
