cycle_start_time_sec,planner_call_time_sec,command_ready_time_sec,command_publish_time_sec,hook,requested_delay_us,measured_delay_us,delay_error_us,scheduling_displacement_ms,planner_computation_us,command_ready_latency_ms,command_publish_latency_ms,valid_command,cmd_linear_x,cmd_linear_y,cmd_angular_z
24.157000000,25.146000000,25.173000000,25.173000000,inside_local_costmap_mutex,1000000,1000304,304,989.000000000,27230,1016.000000000,1016.000000000,1,0.127368420,0.000000656,0.303599447
25.176000000,26.164000000,26.192000000,26.192000000,inside_local_costmap_mutex,1000000,1000052,52,988.000000000,26852,1016.000000000,1016.000000000,1,0.219999999,0.000000000,0.542565525
26.192000000,27.176000000,27.205000000,27.205000000,inside_local_costmap_mutex,1000000,1000578,578,984.000000000,27297,1013.000000000,1013.000000000,1,0.219999999,0.000000000,0.861146569
27.209000000,28.184000000,28.219000000,28.219000000,inside_local_costmap_mutex,1000000,1000218,218,975.000000000,32445,1010.000000000,1010.000000000,1,0.192867115,0.000000000,0.540095687
28.219000000,29.211000000,29.234000000,29.234000000,inside_local_costmap_mutex,1000000,1000218,218,992.000000000,24191,1015.000000000,1015.000000000,1,0.115336113,0.000000000,0.243069991
29.235000000,30.219000000,30.239000000,30.239000000,inside_local_costmap_mutex,1000000,1000260,260,984.000000000,19679,1004.000000000,1004.000000000,1,-0.137463525,0.000000000,-0.068627521
30.239000000,31.227000000,31.265000000,31.269000000,inside_local_costmap_mutex,1000000,1000328,328,988.000000000,37813,1026.000000000,1030.000000000,1,0.113265455,0.000029670,-0.388162374
31.269000000,32.256000000,32.286000000,32.291000000,inside_local_costmap_mutex,1000000,1001055,1055,987.000000000,26178,1017.000000000,1022.000000000,1,0.126885578,0.000131483,-0.702130675
32.291000000,33.278000000,33.306000000,33.306000000,inside_local_costmap_mutex,1000000,1000349,349,987.000000000,28468,1015.000000000,1015.000000000,1,0.219999999,0.000000000,-1.020707607
33.306000000,34.282000000,34.322000000,34.322000000,inside_local_costmap_mutex,1000000,1000241,241,976.000000000,39809,1016.000000000,1016.000000000,1,0.207322195,0.000380415,-0.766541898
34.322000000,35.315000000,35.345000000,35.345000000,inside_local_costmap_mutex,1000000,1000560,560,993.000000000,29709,1023.000000000,1023.000000000,1,0.193066239,0.000278164,-0.444649220
