event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,2.101000000,3.102000000,3.102000000,1001.000000000,100.000000000,-1.000000000,0.234985000,-1.000000000,-1.000000000,1000000,1000059,59
1,local_costmap,3.102000000,4.101000000,4.101000000,999.000000000,100.000000000,1000.313002000,1.859014000,1002.172016000,902.172016000,1000000,1000057,57
2,local_costmap,4.101000000,5.099000000,5.101000000,998.000000000,100.000000000,1000.226079000,1.818518000,1002.044597000,902.044597000,1000000,1000058,58
3,local_costmap,5.101000000,6.099000000,6.101000000,998.000000000,100.000000000,1000.232645000,1.716561000,1001.949206000,901.949206000,1000000,1000056,56
4,local_costmap,6.101000000,7.101000000,7.103000000,1000.000000000,100.000000000,1000.238564000,1.828965000,1002.067529000,902.067529000,1000000,1000058,58
5,local_costmap,7.103000000,8.102000000,8.104000000,999.000000000,100.000000000,1000.231856000,1.876075000,1002.107931000,902.107931000,1000000,1000057,57
6,local_costmap,8.104000000,9.099000000,9.099000000,995.000000000,100.000000000,1000.327655000,1.624502000,1001.952157000,901.952157000,1000000,1000150,150
7,local_costmap,9.099000000,10.102000000,10.102000000,1003.000000000,100.000000000,1000.229419000,1.513057000,1001.742476000,901.742476000,1000000,1000062,62
8,local_costmap,10.102000000,11.097000000,11.097000000,995.000000000,100.000000000,1000.503266000,1.549935000,1002.053201000,902.053201000,1000000,1000333,333
9,local_costmap,11.097000000,12.101000000,12.101000000,1004.000000000,100.000000000,1000.229228000,1.554663000,1001.783891000,901.783891000,1000000,1000058,58
10,local_costmap,12.101000000,13.099000000,13.099000000,998.000000000,100.000000000,1000.231369000,1.537965000,1001.769334000,901.769334000,1000000,1000059,59
11,local_costmap,13.099000000,14.097000000,14.099000000,998.000000000,100.000000000,1000.230378000,1.637640000,1001.868018000,901.868018000,1000000,1000058,58
12,local_costmap,14.099000000,15.089000000,15.089000000,990.000000000,100.000000000,1000.247078000,1.640855000,1001.887933000,901.887933000,1000000,1000061,61
13,local_costmap,15.089000000,16.084000000,16.086000000,995.000000000,100.000000000,1000.225671000,1.550311000,1001.775982000,901.775982000,1000000,1000056,56
14,local_costmap,16.086000000,17.084000000,17.084000000,998.000000000,100.000000000,1000.215619000,1.624741000,1001.840360000,901.840360000,1000000,1000057,57
15,local_costmap,17.084000000,18.083000000,18.085000000,999.000000000,100.000000000,1000.224617000,1.684652000,1001.909269000,901.909269000,1000000,1000057,57
16,local_costmap,18.085000000,19.076000000,19.078000000,991.000000000,100.000000000,1000.228339000,2.148719000,1002.377058000,902.377058000,1000000,1000058,58
17,local_costmap,19.078000000,20.075000000,20.077000000,997.000000000,100.000000000,1000.256130000,1.638713000,1001.894843000,901.894843000,1000000,1000056,56
18,local_costmap,20.077000000,21.077000000,21.077000000,1000.000000000,100.000000000,1000.456538000,1.966069000,1002.422607000,902.422607000,1000000,1000293,293
19,local_costmap,21.077000000,22.073000000,22.120000000,996.000000000,100.000000000,1000.333952000,46.961005000,1047.294957000,947.294957000,1000000,1000060,60
20,local_costmap,22.120000000,23.114000000,23.116000000,994.000000000,100.000000000,1000.226363000,1.770781000,1001.997144000,901.997144000,1000000,1000066,66
21,local_costmap,23.116000000,24.113000000,24.113000000,997.000000000,100.000000000,1000.326369000,1.786058000,1002.112427000,902.112427000,1000000,1000073,73
22,local_costmap,24.113000000,25.113000000,25.116000000,1000.000000000,100.000000000,1000.353150000,3.858264000,1004.211414000,904.211414000,1000000,1000059,59
23,local_costmap,25.118000000,26.111000000,26.112000000,993.000000000,100.000000000,1000.502402000,1.928121000,1002.430523000,902.430523000,1000000,1000047,47
24,local_costmap,26.112000000,27.107000000,27.117000000,995.000000000,100.000000000,1000.363183000,12.244645000,1012.607828000,912.607828000,1000000,1000058,58
25,local_costmap,27.117000000,28.121000000,28.121000000,1004.000000000,100.000000000,1000.245620000,1.690996000,1001.936616000,901.936616000,1000000,1000087,87
26,local_costmap,28.121000000,29.113000000,29.113000000,992.000000000,100.000000000,1000.220746000,1.612865000,1001.833611000,901.833611000,1000000,1000059,59
27,local_costmap,29.113000000,30.112000000,30.112000000,999.000000000,100.000000000,1000.210107000,1.690822000,1001.900929000,901.900929000,1000000,1000057,57
28,local_costmap,30.112000000,31.113000000,31.113000000,1001.000000000,100.000000000,1000.223130000,1.728498000,1001.951628000,901.951628000,1000000,1000058,58
29,local_costmap,31.114000000,32.107000000,32.114000000,993.000000000,100.000000000,1000.563850000,8.634403000,1009.198253000,909.198253000,1000000,1000056,56
30,local_costmap,32.116000000,33.110000000,33.110000000,994.000000000,100.000000000,1000.460332000,1.798330000,1002.258662000,902.258662000,1000000,1000060,60
31,local_costmap,33.110000000,34.110000000,34.113000000,1000.000000000,100.000000000,1001.112375000,3.896737000,1005.009112000,905.009112000,1000000,1000067,67
32,local_costmap,34.115000000,35.105000000,35.112000000,990.000000000,100.000000000,1000.632625000,8.471543000,1009.104168000,909.104168000,1000000,1000064,64
33,local_costmap,35.112000000,36.110000000,36.112000000,998.000000000,100.000000000,1000.382894000,1.749686000,1002.132580000,902.132580000,1000000,1000065,65
34,local_costmap,36.113000000,37.100000000,37.113000000,987.000000000,100.000000000,1000.925694000,14.504092000,1015.429786000,915.429786000,1000000,1000061,61
35,local_costmap,37.114000000,38.110000000,38.113000000,996.000000000,100.000000000,1000.793539000,2.070606000,1002.864145000,902.864145000,1000000,1000085,85
36,local_costmap,38.113000000,39.106000000,39.110000000,993.000000000,100.000000000,1000.412040000,3.002718000,1003.414758000,903.414758000,1000000,1000058,58
37,local_costmap,39.110000000,40.110000000,40.110000000,1000.000000000,100.000000000,1000.595362000,1.550291000,1002.145653000,902.145653000,1000000,1000060,60
38,local_costmap,40.110000000,41.105000000,41.109000000,995.000000000,100.000000000,1000.445062000,3.297929000,1003.742991000,903.742991000,1000000,1000057,57
39,local_costmap,41.109000000,42.098000000,42.102000000,989.000000000,100.000000000,1000.393138000,4.040822000,1004.433960000,904.433960000,1000000,1000057,57
40,local_costmap,42.103000000,43.095000000,43.096000000,992.000000000,100.000000000,1000.488292000,1.596747000,1002.085039000,902.085039000,1000000,1000065,65
41,local_costmap,43.097000000,44.090000000,44.103000000,993.000000000,100.000000000,1000.399162000,13.408077000,1013.807239000,913.807239000,1000000,1000057,57
42,local_costmap,44.103000000,45.094000000,45.095000000,991.000000000,100.000000000,1000.518614000,1.539840000,1002.058454000,902.058454000,1000000,1000057,57
43,local_costmap,45.095000000,46.087000000,46.089000000,992.000000000,100.000000000,1000.242671000,1.574361000,1001.817032000,901.817032000,1000000,1000063,63
44,local_costmap,46.089000000,47.086000000,47.088000000,997.000000000,100.000000000,1000.271926000,1.547601000,1001.819527000,901.819527000,1000000,1000100,100
45,local_costmap,47.088000000,48.084000000,48.084000000,996.000000000,100.000000000,1000.287603000,1.712347000,1001.999950000,901.999950000,1000000,1000117,117
46,local_costmap,48.084000000,49.081000000,49.083000000,997.000000000,100.000000000,1000.261481000,1.783811000,1002.045292000,902.045292000,1000000,1000058,58
47,local_costmap,49.083000000,50.081000000,50.083000000,998.000000000,100.000000000,1000.230899000,1.626571000,1001.857470000,901.857470000,1000000,1000058,58
48,local_costmap,50.083000000,51.081000000,51.081000000,998.000000000,100.000000000,1002.474805000,1.698439000,1004.173244000,904.173244000,1000000,1002291,2291
49,local_costmap,51.081000000,52.076000000,52.078000000,995.000000000,100.000000000,1000.246380000,1.814956000,1002.061336000,902.061336000,1000000,1000062,62
50,local_costmap,52.078000000,53.061000000,53.061000000,983.000000000,100.000000000,1000.263792000,1.530612000,1001.794404000,901.794404000,1000000,1000058,58
51,local_costmap,53.061000000,53.247000000,53.247000000,186.000000000,100.000000000,1000.279728000,2.891946000,1003.171674000,903.171674000,1000000,1000101,101
