event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,1.694000000,1.893000000,1.893000000,199.000000000,100.000000000,-1.000000000,0.246442000,-1.000000000,-1.000000000,200000,200062,62
1,local_costmap,1.894000000,2.077000000,2.079000000,183.000000000,100.000000000,200.325617000,2.019590000,202.345207000,102.345207000,200000,200060,60
2,local_costmap,2.080000000,2.293000000,2.293000000,213.000000000,100.000000000,204.294007000,1.668827000,205.962834000,105.962834000,200000,200059,59
3,local_costmap,2.293000000,2.487000000,2.493000000,194.000000000,100.000000000,200.862475000,3.989326000,204.851801000,104.851801000,200000,200682,682
4,local_costmap,2.494000000,2.700000000,2.701000000,206.000000000,100.000000000,200.652580000,1.598231000,202.250811000,102.250811000,200000,200057,57
5,local_costmap,2.701000000,2.895000000,2.897000000,194.000000000,100.000000000,200.245048000,1.723012000,201.968060000,101.968060000,200000,200061,61
6,local_costmap,2.897000000,3.098000000,3.101000000,201.000000000,100.000000000,200.257472000,2.419948000,202.677420000,102.677420000,200000,200059,59
7,local_costmap,3.102000000,3.306000000,3.308000000,204.000000000,100.000000000,200.559536000,1.964087000,202.523623000,102.523623000,200000,200055,55
8,local_costmap,3.309000000,3.494000000,3.494000000,185.000000000,100.000000000,200.258351000,2.313622000,202.571973000,102.571973000,200000,200041,41
9,local_costmap,3.494000000,3.697000000,3.699000000,203.000000000,100.000000000,200.277661000,1.998136000,202.275797000,102.275797000,200000,200058,58
10,local_costmap,3.700000000,3.901000000,3.902000000,201.000000000,100.000000000,200.247588000,2.439176000,202.686764000,102.686764000,200000,200059,59
11,local_costmap,3.903000000,4.103000000,4.103000000,200.000000000,100.000000000,201.134483000,2.039274000,203.173757000,103.173757000,200000,200571,571
12,local_costmap,4.103000000,4.313000000,4.315000000,210.000000000,100.000000000,200.256208000,1.548737000,201.804945000,101.804945000,200000,200058,58
13,local_costmap,4.315000000,4.514000000,4.516000000,199.000000000,100.000000000,200.241351000,1.571122000,201.812473000,101.812473000,200000,200058,58
14,local_costmap,4.516000000,4.711000000,4.711000000,195.000000000,100.000000000,200.249724000,1.630899000,201.880623000,101.880623000,200000,200062,62
