event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,1.685000000,2.675000000,2.675000000,990.000000000,100.000000000,-1.000000000,0.237489000,-1.000000000,-1.000000000,1000000,1000060,60
1,local_costmap,2.675000000,3.664000000,3.664000000,989.000000000,100.000000000,1000.508346000,1.885121000,1002.393467000,902.393467000,1000000,1000233,233
2,local_costmap,3.664000000,4.654000000,4.654000000,990.000000000,100.000000000,1000.228679000,1.570030000,1001.798709000,901.798709000,1000000,1000057,57
3,local_costmap,4.654000000,5.657000000,5.657000000,1003.000000000,100.000000000,1000.228157000,1.660389000,1001.888546000,901.888546000,1000000,1000057,57
4,local_costmap,5.657000000,6.642000000,6.642000000,985.000000000,100.000000000,1000.417561000,1.778383000,1002.195944000,902.195944000,1000000,1000058,58
5,local_costmap,6.642000000,7.640000000,7.642000000,998.000000000,100.000000000,1001.120579000,1.632544000,1002.753123000,902.753123000,1000000,1000940,940
6,local_costmap,7.642000000,8.638000000,8.640000000,996.000000000,100.000000000,1000.209566000,1.454097000,1001.663663000,901.663663000,1000000,1000057,57
7,local_costmap,8.640000000,9.639000000,9.639000000,999.000000000,100.000000000,1000.226366000,1.558625000,1001.784991000,901.784991000,1000000,1000060,60
8,local_costmap,9.639000000,10.628000000,10.630000000,989.000000000,100.000000000,1000.245775000,2.142628000,1002.388403000,902.388403000,1000000,1000059,59
9,local_costmap,10.631000000,11.628000000,11.628000000,997.000000000,100.000000000,1000.322508000,1.680999000,1002.003507000,902.003507000,1000000,1000020,20
10,local_costmap,11.628000000,12.621000000,12.621000000,993.000000000,100.000000000,1000.211604000,1.606462000,1001.818066000,901.818066000,1000000,1000056,56
11,local_costmap,12.621000000,13.620000000,13.623000000,999.000000000,100.000000000,1000.232063000,1.874175000,1002.106238000,902.106238000,1000000,1000061,61
12,local_costmap,13.623000000,14.614000000,14.614000000,991.000000000,100.000000000,1000.247258000,1.577415000,1001.824673000,901.824673000,1000000,1000061,61
13,local_costmap,14.614000000,15.597000000,15.597000000,983.000000000,100.000000000,1000.240067000,1.797723000,1002.037790000,902.037790000,1000000,1000059,59
14,local_costmap,15.597000000,16.592000000,16.594000000,995.000000000,100.000000000,1000.229063000,2.706829000,1002.935892000,902.935892000,1000000,1000060,60
15,local_costmap,16.595000000,17.587000000,17.587000000,992.000000000,100.000000000,1000.537556000,1.551991000,1002.089547000,902.089547000,1000000,1000068,68
16,local_costmap,17.587000000,18.568000000,18.568000000,981.000000000,100.000000000,1000.208457000,1.652960000,1001.861417000,901.861417000,1000000,1000035,35
17,local_costmap,18.568000000,19.568000000,19.568000000,1000.000000000,100.000000000,1000.533788000,1.740700000,1002.274488000,902.274488000,1000000,1000359,359
18,local_costmap,19.568000000,20.555000000,20.555000000,987.000000000,100.000000000,1000.234726000,1.966954000,1002.201680000,902.201680000,1000000,1000062,62
19,local_costmap,20.555000000,21.557000000,21.576000000,1002.000000000,100.000000000,1000.231586000,18.523790000,1018.755376000,918.755376000,1000000,1000056,56
20,local_costmap,21.576000000,22.562000000,22.583000000,986.000000000,100.000000000,1000.280665000,21.614047000,1021.894712000,921.894712000,1000000,1000103,103
21,local_costmap,22.583000000,23.566000000,23.590000000,983.000000000,100.000000000,1000.556875000,25.331450000,1025.888325000,925.888325000,1000000,1000058,58
22,local_costmap,23.593000000,24.573000000,24.581000000,980.000000000,100.000000000,1000.842418000,7.305837000,1008.148255000,908.148255000,1000000,1000057,57
23,local_costmap,24.581000000,25.583000000,25.583000000,1002.000000000,100.000000000,1000.369087000,1.799456000,1002.168543000,902.168543000,1000000,1000065,65
24,local_costmap,25.583000000,26.566000000,26.576000000,983.000000000,100.000000000,1000.231011000,11.885146000,1012.116157000,912.116157000,1000000,1000069,69
25,local_costmap,26.576000000,27.572000000,27.573000000,996.000000000,100.000000000,1001.765884000,1.706421000,1003.472305000,903.472305000,1000000,1000013,13
26,local_costmap,27.574000000,28.574000000,28.582000000,1000.000000000,100.000000000,1000.518305000,7.039844000,1007.558149000,907.558149000,1000000,1000064,64
27,local_costmap,28.583000000,29.567000000,29.604000000,984.000000000,100.000000000,1000.812231000,36.327754000,1037.139985000,937.139985000,1000000,1000058,58
28,local_costmap,29.605000000,30.589000000,30.592000000,984.000000000,100.000000000,1000.548012000,3.279335000,1003.827347000,903.827347000,1000000,1000205,205
29,local_costmap,30.592000000,31.569000000,31.599000000,977.000000000,100.000000000,1000.401285000,34.180570000,1034.581855000,934.581855000,1000000,1000203,203
30,local_costmap,31.599000000,32.603000000,32.603000000,1004.000000000,100.000000000,1000.236003000,1.898313000,1002.134316000,902.134316000,1000000,1000060,60
31,local_costmap,32.606000000,33.601000000,33.602000000,995.000000000,100.000000000,1000.482271000,2.400492000,1002.882763000,902.882763000,1000000,1000069,69
32,local_costmap,33.604000000,34.591000000,34.596000000,987.000000000,100.000000000,1004.043027000,3.002978000,1007.046005000,907.046005000,1000000,1003081,3081
