event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,141.763000000,141.763000000,0.000000000,100.000000000,-1.000000000,-1.000000000,0,0,0
1,141.863000000,141.863000000,0.000000000,100.000000000,105.836583000,5.836583000,0,0,0
2,141.963000000,141.963000000,0.000000000,100.000000000,94.973307000,-5.026693000,0,0,0
3,142.063000000,142.063000000,0.000000000,100.000000000,102.554299000,2.554299000,0,0,0
4,142.163000000,142.163000000,0.000000000,100.000000000,103.110893000,3.110893000,0,0,0
5,142.263000000,142.263000000,0.000000000,100.000000000,107.869951000,7.869951000,0,0,0
6,142.364000000,142.364000000,0.000000000,100.000000000,93.443944000,-6.556056000,0,0,0
7,142.463000000,142.463000000,0.000000000,100.000000000,104.689109000,4.689109000,0,0,0
8,142.563000000,142.563000000,0.000000000,100.000000000,95.210202000,-4.789798000,0,0,0
9,142.665000000,142.665000000,0.000000000,100.000000000,113.061495000,13.061495000,0,0,0
10,142.867000000,142.867000000,0.000000000,100.000000000,204.072797000,104.072797000,0,0,0
11,142.967000000,142.967000000,0.000000000,100.000000000,98.563908000,-1.436092000,0,0,0
12,143.075000000,143.075000000,0.000000000,100.000000000,110.113554000,10.113554000,0,0,0
13,143.169000000,143.169000000,0.000000000,100.000000000,100.963342000,0.963342000,0,0,0
14,143.267000000,143.267000000,0.000000000,100.000000000,103.976441000,3.976441000,0,0,0
15,143.367000000,143.367000000,0.000000000,100.000000000,113.817342000,13.817342000,0,0,0
16,143.467000000,143.467000000,0.000000000,100.000000000,102.029868000,2.029868000,0,0,0
17,143.568000000,143.568000000,0.000000000,100.000000000,106.902996000,6.902996000,0,0,0
18,143.671000000,143.671000000,0.000000000,100.000000000,103.520343000,3.520343000,0,0,0
19,143.768000000,143.768000000,0.000000000,100.000000000,94.678215000,-5.321785000,0,0,0
20,143.867000000,143.867000000,0.000000000,100.000000000,99.400508000,-0.599492000,0,0,0
21,143.984000000,143.984000000,0.000000000,100.000000000,115.040483000,15.040483000,0,0,0
22,144.077000000,144.077000000,0.000000000,100.000000000,88.166025000,-11.833975000,0,0,0
23,144.174000000,144.174000000,0.000000000,100.000000000,95.133792000,-4.866208000,0,0,0
24,144.268000000,144.268000000,0.000000000,100.000000000,103.372244000,3.372244000,0,0,0
25,144.367000000,144.367000000,0.000000000,100.000000000,105.272005000,5.272005000,0,0,0
26,144.467000000,144.467000000,0.000000000,100.000000000,97.891607000,-2.108393000,0,0,0
27,144.567000000,144.567000000,0.000000000,100.000000000,95.607201000,-4.392799000,0,0,0
28,144.668000000,144.668000000,0.000000000,100.000000000,97.859799000,-2.140201000,0,0,0
29,144.767000000,144.767000000,0.000000000,100.000000000,100.717298000,0.717298000,0,0,0
30,144.868000000,144.868000000,0.000000000,100.000000000,101.469533000,1.469533000,0,0,0
31,144.967000000,144.967000000,0.000000000,100.000000000,99.667767000,-0.332233000,0,0,0
32,145.067000000,145.067000000,0.000000000,100.000000000,100.717258000,0.717258000,0,0,0
33,145.167000000,145.167000000,0.000000000,100.000000000,108.324038000,8.324038000,0,0,0
34,145.267000000,145.267000000,0.000000000,100.000000000,94.862892000,-5.137108000,0,0,0
35,145.371000000,145.371000000,0.000000000,100.000000000,107.274515000,7.274515000,0,0,0
36,145.468000000,145.468000000,0.000000000,100.000000000,98.169664000,-1.830336000,0,0,0
37,145.568000000,145.568000000,0.000000000,100.000000000,105.262225000,5.262225000,0,0,0
38,145.667000000,145.667000000,0.000000000,100.000000000,101.596928000,1.596928000,0,0,0
39,145.767000000,145.767000000,0.000000000,100.000000000,92.273074000,-7.726926000,0,0,0
40,145.867000000,145.867000000,0.000000000,100.000000000,108.847106000,8.847106000,0,0,0
41,145.968000000,145.968000000,0.000000000,100.000000000,96.557412000,-3.442588000,0,0,0
42,146.068000000,146.068000000,0.000000000,100.000000000,101.683923000,1.683923000,0,0,0
43,146.169000000,146.169000000,0.000000000,100.000000000,97.907760000,-2.092240000,0,0,0
44,146.268000000,146.268000000,0.000000000,100.000000000,97.620971000,-2.379029000,0,0,0
45,146.369000000,146.369000000,0.000000000,100.000000000,113.651981000,13.651981000,0,0,0
46,146.467000000,146.467000000,0.000000000,100.000000000,104.435387000,4.435387000,0,0,0
47,146.568000000,146.568000000,0.000000000,100.000000000,96.007183000,-3.992817000,0,0,0
48,146.669000000,146.669000000,0.000000000,100.000000000,104.678584000,4.678584000,0,0,0
