configuration,metric,run_count,mean,sample_std,min,max
A-E2,navigation_velocity_max_error_cm_s,3,105.28442560512984,0.37756058695334244,104.8490003052008,105.52099569280038
A-E2,nav3_velocity_rmse_cm_s,3,48.57010032796947,0.13966643099447595,48.40884513603539,48.65279776752022
A-E2,nav3_velocity_max_error_cm_s,3,104.79643458607744,0.810734277674904,103.90212876067555,105.48328081738832
A-E2,post200_velocity_rmse_cm_s,3,24.578747560905757,0.2297024671262101,24.432315685276336,24.8434876558224
A-E2,post200_velocity_max_error_cm_s,3,38.67017896996772,0.049503999834753294,38.61996841013726,38.718944781592384
A-E2,post6s_velocity_rmse_cm_s,3,76.71547320915808,0.09946752547497566,76.6356010420586,76.82688737547618
A-E2,post6s_velocity_max_error_cm_s,3,104.79643458607744,0.810734277674904,103.90212876067555,105.48328081738832
A-E2,post200_control_interval_mean_ms,3,4.545321666666667,0.061939707041067944,4.478280000000001,4.600420000000001
A-E2,post200_control_interval_max_ms,3,8.070666666666668,0.6978068022979812,7.284,8.615
A-E2,post200_wpnav_elapsed_mean_ms,3,0.014571666666666669,0.0009137879039106057,0.013574999999999999,0.015370000000000003
A-E2,post200_wpnav_elapsed_max_ms,3,0.077,0.06158733636065128,0.038,0.148
A-E2,post200_state_temporal_displacement_mean_ms,3,0.17076499999999997,0.01101955421058402,0.15827,0.179095
A-E2,post200_state_temporal_displacement_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E2,post200_producer_age_mean_ms,3,0.045814999999999995,0.007213991613524373,0.037485,0.04998
A-E2,post200_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E2,post200_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E2,post6s_control_interval_mean_ms,3,4.54676870913507,0.0695072959285381,4.472643070044709,4.610483102918587
A-E2,post6s_control_interval_max_ms,3,10.898000000000001,1.572193054303447,9.448,12.569
A-E2,post6s_wpnav_elapsed_mean_ms,3,0.013563532399863028,0.0016914004488671611,0.01164259121370067,0.014829493087557604
A-E2,post6s_wpnav_elapsed_max_ms,3,0.2936666666666667,0.04969238707622457,0.263,0.351
A-E2,post6s_state_temporal_displacement_mean_ms,3,0.20150880339640173,0.01657433853705659,0.18489784946236557,0.218046282245827
A-E2,post6s_state_temporal_displacement_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E2,post6s_producer_age_mean_ms,3,0.05468291724215359,0.00973985746087146,0.043642369020501136,0.062059139784946225
A-E2,post6s_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E2,post6s_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E3-30,navigation_duration_wall_s,3,108.64948033333333,2.5944694877822974,106.913677,111.631977
A-E3-30,navigation_duration_sim_s,3,60.935616,0.31629987339390275,60.585756,61.201343
A-E3-30,navigation_velocity_rmse_cm_s,3,49.901861106068374,0.27068030620645855,49.72153096995908,50.213111247513616
A-E3-30,navigation_velocity_max_error_cm_s,3,232.86134829026923,19.239365482179437,210.69076447960407,245.17223975401456
A-E3-30,nav3_velocity_rmse_cm_s,3,63.0978068104745,0.8890267842227106,62.395592647745296,64.0974045049649
A-E3-30,nav3_velocity_max_error_cm_s,3,232.86134829026923,19.239365482179437,210.69076447960407,245.17223975401456
A-E3-30,post200_velocity_rmse_cm_s,3,113.13974806596373,9.628431458336546,102.50884501727155,121.27381939880925
A-E3-30,post200_velocity_max_error_cm_s,3,210.0920918242217,13.137145709179785,195.53794294202856,221.07283473326166
A-E3-30,post6s_velocity_rmse_cm_s,3,113.10846567224884,9.512179960404785,102.66208181252259,121.27042703685237
A-E3-30,post6s_velocity_max_error_cm_s,3,210.0920918242217,13.137145709179785,195.53794294202856,221.07283473326166
A-E3-30,post200_control_interval_mean_ms,3,32.213831666666664,0.08752295874988211,32.12873,32.30359
A-E3-30,post200_control_interval_max_ms,3,34.639,0.3998599754914223,34.211,35.003
A-E3-30,post200_wpnav_elapsed_mean_ms,3,30.394928333333336,0.051201852831058936,30.354475,30.452495000000003
A-E3-30,post200_wpnav_elapsed_max_ms,3,31.400333333333332,0.5835069265512889,31.053,32.074
A-E3-30,post200_state_temporal_displacement_mean_ms,3,17.254206666666665,0.29546068876981424,16.922394999999998,17.488834999999998
A-E3-30,post200_state_temporal_displacement_max_ms,3,20.825,0.0,20.825,20.825
A-E3-30,post200_producer_age_mean_ms,3,0.056921666666666655,0.0048093277423495815,0.05414499999999999,0.06247499999999999
A-E3-30,post200_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E3-30,post200_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E3-30,post6s_control_interval_mean_ms,3,32.193431315410635,0.09391793301567025,32.101844919786096,32.289518918918915
A-E3-30,post6s_control_interval_max_ms,3,34.639,0.3998599754914223,34.211,35.003
A-E3-30,post6s_wpnav_elapsed_mean_ms,3,30.394496363139055,0.05968661787429833,30.346283422459887,30.461254054054056
A-E3-30,post6s_wpnav_elapsed_max_ms,3,31.400333333333332,0.5835069265512889,31.053,32.074
A-E3-30,post6s_state_temporal_displacement_mean_ms,3,17.23962245119019,0.30905108188350305,16.903145945945944,17.510818181818177
A-E3-30,post6s_state_temporal_displacement_max_ms,3,19.992,0.0,19.992,19.992
A-E3-30,post6s_producer_age_mean_ms,3,0.05523580266483492,0.0026008631391434807,0.05345454545454545,0.05822043010752687
A-E3-30,post6s_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E3-30,post6s_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E3-50,navigation_duration_wall_s,3,133.846783,2.3822170520506725,131.936744,136.516087
A-E3-50,navigation_duration_sim_s,3,74.77785466666667,1.4631830149459564,73.769647,76.456072
A-E3-50,navigation_velocity_rmse_cm_s,3,122.94204015220326,25.07641218635943,97.67600754417843,147.82442971887141
A-E3-50,navigation_velocity_max_error_cm_s,3,810.4175353594524,138.29545787503673,658.1569736719348,928.2392384003167
A-E3-50,nav3_velocity_rmse_cm_s,3,193.0271219041556,40.48544860132366,151.11672174466545,231.91860691986153
A-E3-50,nav3_velocity_max_error_cm_s,3,810.4175353594524,138.29545787503673,658.1569736719348,928.2392384003167
A-E3-50,post200_velocity_rmse_cm_s,3,115.50116097191069,8.342691417412224,105.89625033260148,120.94374814855044
A-E3-50,post200_velocity_max_error_cm_s,3,216.55571552540425,24.970674548763583,187.86924870771162,233.41878098387883
A-E3-50,post6s_velocity_rmse_cm_s,3,91.74286993193927,6.1823932532458565,87.0562446171639,98.74972670372749
A-E3-50,post6s_velocity_max_error_cm_s,3,194.40534317790048,12.770374067509648,180.04855015522898,204.498242117139
A-E3-50,post200_control_interval_mean_ms,3,52.15371833333333,0.1081643449031752,52.063114999999996,52.273469999999996
A-E3-50,post200_control_interval_max_ms,3,56.085,2.4959869791327063,54.156,58.904
A-E3-50,post200_wpnav_elapsed_mean_ms,3,50.38763666666666,0.02940372949700365,50.357020000000006,50.415654999999994
A-E3-50,post200_wpnav_elapsed_max_ms,3,52.068666666666665,0.3800583288566786,51.831,52.507
A-E3-50,post200_state_temporal_displacement_mean_ms,3,28.174836666666664,0.38902824230167554,27.83886,28.601054999999995
A-E3-50,post200_state_temporal_displacement_max_ms,3,32.487,0.8330000000000002,31.654,33.32
A-E3-50,post200_producer_age_mean_ms,3,0.04026166666666666,0.014626999293543882,0.02499,0.05414499999999999
A-E3-50,post200_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E3-50,post200_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E3-50,post6s_control_interval_mean_ms,3,51.91947246376812,0.11330822020588285,51.81412173913044,52.03933913043478
A-E3-50,post6s_control_interval_max_ms,3,55.764,2.71958526249868,54.156,58.904
A-E3-50,post6s_wpnav_elapsed_mean_ms,3,50.2233788105947,0.29778132945778724,49.880310344827585,50.414956521739136
A-E3-50,post6s_wpnav_elapsed_max_ms,3,51.22299999999999,0.41438146676703713,50.919,51.695
A-E3-50,post6s_state_temporal_displacement_mean_ms,3,28.024746801599196,0.33951384648942295,27.800469565217387,28.415353448275866
A-E3-50,post6s_state_temporal_displacement_max_ms,3,32.20933333333333,0.9618655484699167,31.654,33.32
A-E3-50,post6s_producer_age_mean_ms,3,0.03138840579710145,0.01822902053501604,0.01448695652173913,0.05070434782608695
A-E3-50,post6s_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E3-50,post6s_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E4,navigation_duration_wall_s,3,99.73617033333333,2.2123362290629185,97.741216,102.115512
A-E4,navigation_duration_sim_s,3,57.667757,0.07925328528206346,57.586123,57.744393
A-E4,navigation_velocity_rmse_cm_s,3,46.018735547067905,0.04464824763352755,45.974664495298285,46.063939430980085
A-E4,navigation_velocity_max_error_cm_s,3,104.78864438765913,0.37340272505251487,104.42709155195313,105.17286429968522
A-E4,nav3_velocity_rmse_cm_s,3,48.67302189496155,0.07669017543355208,48.58497804162177,48.72526531327478
A-E4,nav3_velocity_max_error_cm_s,3,104.76183857340924,0.37869259092530155,104.42709155195313,105.17286429968522
A-E4,post200_velocity_rmse_cm_s,3,24.803029824998163,0.4253562952132754,24.449604596496034,25.27511666590285
A-E4,post200_velocity_max_error_cm_s,3,38.78213443476957,0.5310325086003393,38.24264724100566,39.3042878195242
A-E4,post6s_velocity_rmse_cm_s,3,76.74190963211747,0.4001584941184145,76.32297566175417,77.12018884070682
