INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
49416892,49416892,0,0,10,49416892,9053241295,0,0,0,0,49416892,0,49416892,9053240495,0,800,0,2,0.000,-1.872,0.000,2.312
49420224,49420224,0,0,6,49420224,9053246982,3332,5687,832,3187,49420224,3332,49420224,9053246465,0,517,0,2,0.000,-1.877,0.000,2.319
49422723,49422723,0,0,11,49422723,9053251642,2499,4660,0,2160,49422723,2499,49422723,9053250645,0,997,0,2,0.000,-1.878,0.000,2.322
49425222,49425222,0,0,7,49425222,9053256245,2499,4603,0,2103,49425222,2499,49425222,9053255300,0,945,0,2,0.000,-1.872,0.000,2.314
49427721,49427721,0,0,7,49427721,9053260418,2499,4173,0,1673,49427721,2499,49427721,9053259929,0,489,0,2,0.000,-1.874,0.000,2.315
49430220,49430220,0,0,18,49430220,9053267216,2499,6798,0,4298,49430220,2499,49430220,9053265254,0,1962,0,2,0.000,-1.878,0.000,2.319
49432719,49432719,0,0,10,49432719,9053272102,2499,4886,0,2386,49432719,2499,49432719,9053270341,0,1761,0,2,0.000,-1.881,0.000,2.323
49435218,49435218,0,0,10,49435218,9053277279,2499,5177,0,2677,49435218,2499,49435218,9053275384,0,1895,0,2,0.000,-1.874,0.000,2.315
49437717,49437717,0,833,8,49437717,9053281064,2499,3785,0,1285,49437717,2499,49437717,9053279892,0,1172,0,2,0.000,-1.877,0.000,2.318
49440216,49440216,0,0,7,49440216,9053285178,2499,4114,0,1614,49440216,2499,49440216,9053284234,0,944,0,2,0.000,-1.880,0.000,2.321
49442715,49442715,0,0,8,49442715,9053290101,2499,4923,0,2423,49442715,2499,49442715,9053289695,0,406,0,2,0.000,-1.882,0.000,2.324
49445214,49445214,0,833,8,49445214,9053296234,2499,6133,0,3633,49445214,2499,49445214,9053294247,0,1987,0,2,0.000,-1.875,0.000,2.317
