event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,2.099000000,2.600000000,2.600000000,501.000000000,100.000000000,-1.000000000,0.253680000,-1.000000000,-1.000000000,500000,500061,61
1,local_costmap,2.600000000,3.099000000,3.101000000,499.000000000,100.000000000,500.358410000,1.734093000,502.092503000,402.092503000,500000,500059,59
2,local_costmap,3.101000000,3.601000000,3.601000000,500.000000000,100.000000000,500.526823000,2.044258000,502.571081000,402.571081000,500000,500081,81
3,local_costmap,3.601000000,4.099000000,4.101000000,498.000000000,100.000000000,500.259510000,1.581150000,501.840660000,401.840660000,500000,500057,57
4,local_costmap,4.101000000,4.600000000,4.600000000,499.000000000,100.000000000,500.232002000,1.795799000,502.027801000,402.027801000,500000,500058,58
5,local_costmap,4.600000000,5.096000000,5.098000000,496.000000000,100.000000000,500.267598000,1.532368000,501.799966000,401.799966000,500000,500076,76
6,local_costmap,5.098000000,5.596000000,5.598000000,498.000000000,100.000000000,500.250669000,2.135865000,502.386534000,402.386534000,500000,500059,59
7,local_costmap,5.598000000,6.094000000,6.096000000,496.000000000,100.000000000,500.258257000,2.123091000,502.381348000,402.381348000,500000,500058,58
8,local_costmap,6.097000000,6.593000000,6.593000000,496.000000000,100.000000000,500.258464000,2.075363000,502.333827000,402.333827000,500000,500058,58
9,local_costmap,6.593000000,7.093000000,7.095000000,500.000000000,100.000000000,500.248450000,1.575314000,501.823764000,401.823764000,500000,500057,57
10,local_costmap,7.095000000,7.597000000,7.597000000,502.000000000,100.000000000,500.233509000,1.567042000,501.800551000,401.800551000,500000,500063,63
11,local_costmap,7.597000000,8.081000000,8.081000000,484.000000000,100.000000000,500.253997000,1.535517000,501.789514000,401.789514000,500000,500057,57
12,local_costmap,8.081000000,8.586000000,8.588000000,505.000000000,100.000000000,500.240675000,1.585641000,501.826316000,401.826316000,500000,500058,58
13,local_costmap,8.588000000,9.091000000,9.091000000,503.000000000,100.000000000,500.253636000,1.835046000,502.088682000,402.088682000,500000,500057,57
14,local_costmap,9.091000000,9.592000000,9.592000000,501.000000000,100.000000000,500.270535000,1.695510000,501.966045000,401.966045000,500000,500057,57
15,local_costmap,9.592000000,10.079000000,10.081000000,487.000000000,100.000000000,503.785655000,1.721064000,505.506719000,405.506719000,500000,503618,3618
16,local_costmap,10.081000000,10.568000000,10.569000000,487.000000000,100.000000000,500.253296000,1.512489000,501.765785000,401.765785000,500000,500058,58
17,local_costmap,10.570000000,11.074000000,11.075000000,504.000000000,100.000000000,501.015254000,1.587717000,502.602971000,402.602971000,500000,500058,58
18,local_costmap,11.075000000,11.563000000,11.566000000,488.000000000,100.000000000,500.244415000,1.825307000,502.069722000,402.069722000,500000,500061,61
19,local_costmap,11.566000000,12.070000000,12.071000000,504.000000000,100.000000000,500.248973000,1.575185000,501.824158000,401.824158000,500000,500056,56
20,local_costmap,12.071000000,12.566000000,12.566000000,495.000000000,100.000000000,500.237008000,1.572273000,501.809281000,401.809281000,500000,500058,58
21,local_costmap,12.566000000,13.064000000,13.066000000,498.000000000,100.000000000,500.275380000,1.575322000,501.850702000,401.850702000,500000,500057,57
22,local_costmap,13.068000000,13.571000000,13.574000000,503.000000000,100.000000000,502.096069000,2.009168000,504.105237000,404.105237000,500000,500061,61
23,local_costmap,13.575000000,14.057000000,14.059000000,482.000000000,100.000000000,501.559357000,2.399934000,503.959291000,403.959291000,500000,500058,58
24,local_costmap,14.061000000,14.541000000,14.541000000,480.000000000,100.000000000,500.912287000,2.169767000,503.082054000,403.082054000,500000,500062,62
25,local_costmap,14.542000000,15.055000000,15.055000000,513.000000000,100.000000000,501.072479000,2.075555000,503.148034000,403.148034000,500000,500059,59
26,local_costmap,15.055000000,15.562000000,15.562000000,507.000000000,100.000000000,500.230969000,2.702694000,502.933663000,402.933663000,500000,500012,12
