event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
338,local_costmap,70.499000000,70.700000000,70.700000000,201.000000000,100.000000000,200.920410000,1.964988000,202.885398000,102.885398000,200000,200059,59
339,local_costmap,70.703000000,70.900000000,70.900000000,197.000000000,100.000000000,200.549659000,2.026188000,202.575847000,102.575847000,200000,200294,294
340,local_costmap,70.900000000,71.108000000,71.108000000,208.000000000,100.000000000,200.261232000,2.026765000,202.287997000,102.287997000,200000,200057,57
341,local_costmap,71.108000000,71.307000000,71.310000000,199.000000000,100.000000000,201.052454000,2.005865000,203.058319000,103.058319000,200000,200852,852
342,local_costmap,71.310000000,71.509000000,71.509000000,199.000000000,100.000000000,200.272271000,2.000133000,202.272404000,102.272404000,200000,200058,58
343,local_costmap,71.511000000,71.714000000,71.714000000,203.000000000,100.000000000,200.291673000,2.099353000,202.391026000,102.391026000,200000,200062,62
344,local_costmap,71.714000000,71.907000000,71.909000000,193.000000000,100.000000000,200.275873000,2.251928000,202.527801000,102.527801000,200000,200061,61
345,local_costmap,71.910000000,72.106000000,72.108000000,196.000000000,100.000000000,200.271293000,2.370501000,202.641794000,102.641794000,200000,200070,70
346,local_costmap,72.110000000,72.309000000,72.311000000,199.000000000,100.000000000,201.828067000,2.251152000,204.079219000,104.079219000,200000,200062,62
347,local_costmap,72.313000000,72.513000000,72.513000000,200.000000000,100.000000000,203.676728000,1.984696000,205.661424000,105.661424000,200000,200109,109
348,local_costmap,72.513000000,72.708000000,72.709000000,195.000000000,100.000000000,200.273309000,2.336315000,202.609624000,102.609624000,200000,200067,67
349,local_costmap,72.709000000,72.899000000,72.899000000,190.000000000,100.000000000,200.550786000,2.224364000,202.775150000,102.775150000,200000,200276,276
350,local_costmap,72.901000000,73.111000000,73.111000000,210.000000000,100.000000000,201.725602000,1.981063000,203.706665000,103.706665000,200000,200140,140
351,local_costmap,73.111000000,73.299000000,73.299000000,188.000000000,100.000000000,200.402665000,2.015498000,202.418163000,102.418163000,200000,200130,130
352,local_costmap,73.300000000,73.505000000,73.505000000,205.000000000,100.000000000,201.564881000,2.459332000,204.024213000,104.024213000,200000,200128,128
353,local_costmap,73.505000000,73.712000000,73.712000000,207.000000000,100.000000000,204.970951000,2.982152000,207.953103000,107.953103000,200000,203230,3230
354,local_costmap,73.712000000,73.917000000,73.920000000,205.000000000,100.000000000,200.821452000,2.746396000,203.567848000,103.567848000,200000,200077,77
355,local_costmap,73.920000000,74.121000000,74.124000000,201.000000000,100.000000000,200.320304000,2.278315000,202.598619000,102.598619000,200000,200060,60
