event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,2.086000000,4.082000000,4.083000000,1996.000000000,100.000000000,-1.000000000,0.252417000,-1.000000000,-1.000000000,2000000,2000060,60
1,local_costmap,4.083000000,6.076000000,6.076000000,1993.000000000,100.000000000,2000.347070000,1.646651000,2001.993721000,1901.993721000,2000000,2000087,87
2,local_costmap,6.076000000,8.072000000,8.073000000,1996.000000000,100.000000000,2000.232780000,1.668323000,2001.901103000,1901.901103000,2000000,2000070,70
3,local_costmap,8.073000000,10.069000000,10.072000000,1996.000000000,100.000000000,2000.233022000,4.472538000,2004.705560000,1904.705560000,2000000,2000060,60
4,local_costmap,10.077000000,12.066000000,12.067000000,1989.000000000,100.000000000,2003.219275000,1.574984000,2004.794259000,1904.794259000,2000000,2000061,61
5,local_costmap,12.067000000,14.061000000,14.061000000,1994.000000000,100.000000000,2000.230748000,1.565409000,2001.796157000,1901.796157000,2000000,2000076,76
6,local_costmap,14.061000000,16.051000000,16.051000000,1990.000000000,100.000000000,2000.273561000,1.589966000,2001.863527000,1901.863527000,2000000,2000119,119
7,local_costmap,16.051000000,18.038000000,18.040000000,1987.000000000,100.000000000,2000.232048000,1.470666000,2001.702714000,1901.702714000,2000000,2000071,71
8,local_costmap,18.040000000,20.035000000,20.035000000,1995.000000000,100.000000000,2000.840507000,1.679673000,2002.520180000,1902.520180000,2000000,2000689,689
9,local_costmap,20.035000000,22.016000000,22.016000000,1981.000000000,100.000000000,2000.601240000,2.266363000,2002.867603000,1902.867603000,2000000,2000431,431
10,local_costmap,22.016000000,23.991000000,23.991000000,1975.000000000,100.000000000,2000.381446000,2.091133000,2002.472579000,1902.472579000,2000000,2000064,64
11,local_costmap,23.991000000,25.963000000,25.974000000,1972.000000000,100.000000000,2000.254699000,10.149632000,2010.404331000,1910.404331000,2000000,2000059,59
12,local_costmap,25.975000000,27.951000000,27.963000000,1976.000000000,100.000000000,2000.293660000,14.243614000,2014.537274000,1914.537274000,2000000,2000058,58
13,local_costmap,27.963000000,29.944000000,29.986000000,1981.000000000,100.000000000,2000.298296000,41.297264000,2041.595560000,1941.595560000,2000000,2000059,59
14,local_costmap,29.986000000,31.966000000,31.974000000,1980.000000000,100.000000000,2000.816387000,9.301960000,2010.118347000,1910.118347000,2000000,2000521,521
15,local_costmap,31.974000000,33.937000000,33.961000000,1963.000000000,100.000000000,2001.388035000,25.373753000,2026.761788000,1926.761788000,2000000,2000077,77
16,local_costmap,33.964000000,35.947000000,35.970000000,1983.000000000,100.000000000,2000.622692000,22.136924000,2022.759616000,1922.759616000,2000000,2000056,56
17,local_costmap,35.971000000,37.943000000,37.963000000,1972.000000000,100.000000000,2000.286887000,24.753495000,2025.040382000,1925.040382000,2000000,2000115,115
18,local_costmap,37.963000000,39.953000000,39.955000000,1990.000000000,100.000000000,2000.245374000,1.772306000,2002.017680000,1902.017680000,2000000,2000065,65
19,local_costmap,39.955000000,41.949000000,41.958000000,1994.000000000,100.000000000,2001.997928000,10.060793000,2012.058721000,1912.058721000,2000000,2001673,1673
20,local_costmap,41.958000000,43.945000000,43.945000000,1987.000000000,100.000000000,2000.308155000,1.756161000,2002.064316000,1902.064316000,2000000,2000129,129
21,local_costmap,43.945000000,45.933000000,45.935000000,1988.000000000,100.000000000,2000.244098000,1.714342000,2001.958440000,1901.958440000,2000000,2000065,65
22,local_costmap,45.935000000,47.927000000,47.927000000,1992.000000000,100.000000000,2000.232388000,1.822173000,2002.054561000,1902.054561000,2000000,2000057,57
23,local_costmap,47.927000000,49.857000000,49.857000000,1930.000000000,100.000000000,2000.256338000,1.759311000,2002.015649000,1902.015649000,2000000,2000065,65
24,local_costmap,49.857000000,49.857000000,49.857000000,0.000000000,100.000000000,2000.268851000,1.598726000,2001.867577000,1901.867577000,2000000,2000060,60
