experiment,run_id,delay_ms,run_number,injection_point,bag_file,timing_file,source_bag_path,source_timing_path,bag_duration_s,goal_ros_time_s,result_ros_time_s,mission_duration_s,observation_duration_s,result_from_bag,result_status_text,recovery_indicated_by_status,odom_path_length_m,minimum_scan_m,mean_abs_linear_cmd_m_s,max_abs_linear_cmd_m_s,mean_abs_angular_cmd_rad_s,max_abs_angular_cmd_rad_s,stop_command_fraction,mean_cmd_gap_ms,median_cmd_gap_ms,p95_cmd_gap_ms,max_cmd_gap_ms,mean_scan_age_ms,max_scan_age_ms,mean_amcl_age_ms,max_amcl_age_ms,startup_window_s,startup_path_length_5s_m,startup_net_displacement_5s_m,startup_efficiency_5s,startup_angular_sign_changes_5s,startup_reverse_cmd_count_5s,startup_mean_abs_angular_cmd_rad_s,startup_max_abs_angular_cmd_rad_s,time_to_first_motion_s,odom_messages_mission,scan_messages_mission,amcl_messages_mission,cmd_vel_messages_mission,timing_scope,timing_event_count_total,timing_event_count_condition,timing_event_count_used,requested_delay_ms_from_csv,measured_delay_ms_n,measured_delay_ms_mean,measured_delay_ms_median,measured_delay_ms_stdev,measured_delay_ms_min,measured_delay_ms_p95,measured_delay_ms_max,delay_error_ms_n,delay_error_ms_mean,delay_error_ms_median,delay_error_ms_stdev,delay_error_ms_min,delay_error_ms_p95,delay_error_ms_max,internal_interval_median_ms,internal_interval_max_ms,internal_displacement_median_ms,internal_displacement_max_ms,pose_displacement_scope,pose_displacement_sample_count,te1_legacy_control_rows_excluded,te1_legacy_control_check_mismatches,te1_unknown_hook_rows_excluded,pose_temporal_displacement_ms_n,pose_temporal_displacement_ms_mean,pose_temporal_displacement_ms_median,pose_temporal_displacement_ms_stdev,pose_temporal_displacement_ms_min,pose_temporal_displacement_ms_p95,pose_temporal_displacement_ms_max,tf_temporal_displacement_ms_n,tf_temporal_displacement_ms_mean,tf_temporal_displacement_ms_median,tf_temporal_displacement_ms_stdev,tf_temporal_displacement_ms_min,tf_temporal_displacement_ms_p95,tf_temporal_displacement_ms_max,tf_timestamp_lag_ms_n,tf_timestamp_lag_ms_mean,tf_timestamp_lag_ms_median,tf_timestamp_lag_ms_stdev,tf_timestamp_lag_ms_min,tf_timestamp_lag_ms_p95,tf_timestamp_lag_ms_max,tf_future_margin_ms_n,tf_future_margin_ms_mean,tf_future_margin_ms_median,tf_future_margin_ms_stdev,tf_future_margin_ms_min,tf_future_margin_ms_p95,tf_future_margin_ms_max,nominal_controller_period_ms,scheduling_displacement_ms_n,scheduling_displacement_ms_mean,scheduling_displacement_ms_median,scheduling_displacement_ms_stdev,scheduling_displacement_ms_min,scheduling_displacement_ms_p95,scheduling_displacement_ms_max,planner_computation_ms_n,planner_computation_ms_mean,planner_computation_ms_median,planner_computation_ms_stdev,planner_computation_ms_min,planner_computation_ms_p95,planner_computation_ms_max,command_ready_latency_ms_n,command_ready_latency_ms_mean,command_ready_latency_ms_median,command_ready_latency_ms_stdev,command_ready_latency_ms_min,command_ready_latency_ms_p95,command_ready_latency_ms_max,command_publish_latency_ms_n,command_publish_latency_ms_mean,command_publish_latency_ms_median,command_publish_latency_ms_stdev,command_publish_latency_ms_min,command_publish_latency_ms_p95,command_publish_latency_ms_max,command_publish_interval_ms_n,command_publish_interval_ms_mean,command_publish_interval_ms_median,command_publish_interval_ms_stdev,command_publish_interval_ms_min,command_publish_interval_ms_p95,command_publish_interval_ms_max,effective_publish_rate_hz_n,effective_publish_rate_hz_mean,effective_publish_rate_hz_median,effective_publish_rate_hz_stdev,effective_publish_rate_hz_min,effective_publish_rate_hz_p95,effective_publish_rate_hz_max,diagnostic_period_exceedance_ratio,deadline_miss_ratio,valid_command_ratio,zero_command_publish_intervals,negative_command_publish_intervals_excluded,te4_invalid_rows_excluded,te4_nonincreasing_publish_rows_excluded,te4_timestamp_order_rows_excluded,te4_latency_consistency_rows_excluded
T-E1,te1_1000ms_run-04,1000,4,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay1000/delay1000_run-4.bag,amcl_pose_publish/delay1000/delay_results-4.csv,results/delay1000/delay1000_run-4.bag,results/delay1000/delay_results-4.csv,78.757,46.345,105.643,,59.298,ABORTED,Failed to find a valid control. Even after executing recovery behaviors.,yes,3.935444829,0.128128827,0.082448621,0.219999999,0.118087682,1.26643014,0.595785441,113.548944338,98,197,2331,0.300675676,3,1261.703703704,2199,5,0.65206419,0.647418207,0.992874962,3,0,0.176025731,0.533526719,0.139,1779,296,27,522,all_matching_callback_events_excluding_legacy_control_row,30,29,29,1000,29,1000.29862069,1000.239,0.190290645,1000.034,1000.6436,1000.787,29,0.29862069,0.239,0.190290645,0.034,0.6436,0.787,,,1024,2198,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,29,1,0,0,29,1245.413793103,1024,379.348173774,981,2115.2,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_1000ms_run-05,1000,5,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay1000/delay1000_run-5.bag,amcl_pose_publish/delay1000/delay_results-5.csv,results/delay1000/delay1000_run-5.bag,results/delay1000/delay_results-5.csv,95.724,27.018,115.119,88.101,,SUCCEEDED,Goal reached.,no,5.348378922,0.156955555,0.108202114,0.219999999,0.215322764,1.548843084,0.383141762,169.097888676,100,300,3828,0.509090909,10,1660.85,3552,5,0.409984376,0.405777922,0.989739963,2,0,0.119868393,0.392735571,0.126,2643,440,60,522,all_matching_callback_events_excluding_legacy_control_row,66,65,65,1000,65,1000.386184615,1000.246,0.648395734,1000.041,1000.8206,1005.257,65,0.386184615,0.246,0.648395734,0.041,0.8206,5.257,,,1419,3552,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,65,1,0,0,65,1647.676923077,1419,725.052802122,977,2962.4,3552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_0ms_run-01,0,1,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/baseline/baseline_run-1.bag,amcl_sendTransform/baseline/delay_results-1.csv,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/baseline_run-1.bag,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/delay_results-1.csv,31.852,146.106,169.306,23.2,,SUCCEEDED,Goal reached.,no,4.430317402,0.269176304,0.191394606,0.219999999,0.298558075,1.428737746,0.021459227,100,100,119.45,144,0.431034483,4,12.733333333,39,5,0.94888972,0.887907945,0.935733549,1,0,0.384646953,1.245685577,0.144,696,116,30,233,condition_rows_all_recording,876,876,876,0,876,0.361200913,0.2935,0.337888622,0.053,0.75825,4.729,876,0.361200913,0.2935,0.337888622,0.053,0.75825,4.729,,,15,59,,,,,,,,,,,,,876,16.794520548,15,10.569877074,0,32,59,876,-483.205479452,-485,10.569877074,-500,-468,-441,876,483.205479452,485,10.569877074,441,499,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_0ms_run-02,0,2,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/baseline/baseline_run-2.bag,amcl_sendTransform/baseline/delay_results-2.csv,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/baseline_run-2.bag,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/delay_results-2.csv,29.175,25.839,49.142,23.303,,SUCCEEDED,Goal reached.,no,4.394172385,0.252443165,0.18868949,0.219999999,0.276729052,1.37,0.02991453,100.004291845,100,119.2,151,0.282051282,4,36.607142857,69,5,0.925958004,0.864094579,0.933189816,1,0,0.380886947,1.193253279,0.138,699,117,28,234,condition_rows_all_recording,258,258,258,0,258,0.443286822,0.379,0.438723772,0.054,0.82915,4.907,258,0.443286822,0.379,0.438723772,0.054,0.82915,4.907,,,30,68,,,,,,,,,,,,,258,31.651162791,30,5.308610087,27,37,68,258,-468.348837209,-470,5.308610087,-473,-463,-432,258,468.348837209,470,5.308610087,432,472,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_0ms_run-03,0,3,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/baseline/baseline_run-3.bag,amcl_sendTransform/baseline/delay_results-3.csv,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/baseline_run-3.bag,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/delay_results-3.csv,36.83,23.167,49.267,26.1,,SUCCEEDED,Goal reached.,no,4.618231179,0.270751089,0.184426428,0.219999999,0.286331325,1.37,0.026717557,100,100,112,129,0.284615385,4,14.066666667,40,5,0.514566453,0.31519639,0.612547491,8,14,0.411877225,1.20820725,0.129,783,130,30,262,condition_rows_all_recording,295,295,295,0,295,0.373366102,0.315,0.292608224,0.054,0.7626,2.99,295,0.373366102,0.315,0.292608224,0.054,0.7626,2.99,,,8,81,,,,,,,,,,,,,295,12.603389831,8,9.592123436,6,32,81,295,-487.396610169,-492,9.592123436,-494,-468,-419,295,487.396610169,492,9.592123436,419,493,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_0ms_run-04,0,4,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/baseline/baseline_run-4.bag,amcl_sendTransform/baseline/delay_results-4.csv,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/baseline_run-4.bag,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/delay_results-4.csv,31.755,33.846,57.347,23.501,,SUCCEEDED,Goal reached.,no,4.428885879,0.270152152,0.188757317,0.219999999,0.297179292,1.37,0.029661017,100.004255319,100,115,150,0.415254237,3,33.1,60,5,0.937714682,0.876413056,0.934626569,1,0,0.387303422,1.119994164,0.15,705,118,30,236,condition_rows_all_recording,309,309,309,0,309,0.377401294,0.322,0.29199562,0.055,0.7446,2.995,309,0.377401294,0.322,0.29199562,0.055,0.7446,2.995,,,31,60,,,,,,,,,,,,,309,30.184466019,31,5.296557764,23,35,60,309,-469.815533981,-469,5.296557764,-477,-465,-440,309,469.815533981,469,5.296557764,440,476,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_0ms_run-05,0,5,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/baseline/baseline_run-5.bag,amcl_sendTransform/baseline/delay_results-5.csv,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/baseline_run-5.bag,results_delay_sendTransofrm/amcl_sendTransofrm/baseline/delay_results-5.csv,30.422,27.629,50.827,23.198,,SUCCEEDED,Goal reached.,no,4.435982635,0.27574569,0.191601641,0.219999999,0.296005183,1.516755354,0.025751073,99.99137931,100.5,114,158,0.5,3,34.64516129,68,5,0.939820761,0.871272636,0.927062556,1,0,0.406234592,1.267409801,0.138,696,116,31,233,condition_rows_all_recording,265,265,265,0,265,0.410543396,0.323,0.508402458,0.055,0.8178,6.261,265,0.410543396,0.323,0.508402458,0.055,0.8178,6.261,,,31,68,,,,,,,,,,,,,265,31.988679245,31,4.228764254,28,35,68,265,-468.011320755,-469,4.228764254,-472,-465,-432,265,468.011320755,469,4.228764254,432,471,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_20ms_run-01,20,1,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay20/delay20_run-1.bag,amcl_sendTransform/delay20/delay_results-1.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay20_run-1.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay_results-1.csv,35.479,33.39,59.185,25.795,,SUCCEEDED,Goal reached.,no,4.636364249,0.260640204,0.185881244,0.219999999,0.289101752,1.492176961,0.019379845,99.871595331,99,117,137,0.333333333,2,28.9375,49,5,0.595619925,0.349188265,0.586260214,6,15,0.4363461,1.120212674,0.128,774,129,32,258,condition_rows_all_recording,319,319,319,20,319,20.365661442,20.305,0.332669011,20.03,20.7987,24.155,319,0.365661442,0.305,0.332669011,0.03,0.7987,4.155,,,46,83,,,,,,,,,,,,,319,46.059561129,46,5.340561632,34,52.1,83,319,-453.940438871,-454,5.340561632,-466,-447.9,-417,319,453.940438871,454,5.340561632,417,461,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_20ms_run-02,20,2,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay20/delay20_run-2.bag,amcl_sendTransform/delay20/delay_results-2.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay20_run-2.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay_results-2.csv,29.753,24.366,50.366,26,,SUCCEEDED,Goal reached.,no,4.597548634,0.270264,0.183992339,0.219999999,0.293260344,1.536137772,0.026819923,100,100,118.05,138,0.476923077,2,35.580645161,86,5,0.540351396,0.324798572,0.60108769,6,16,0.449878079,1.307892084,0.123,780,130,31,261,condition_rows_all_recording,264,264,264,20,264,20.363261364,20.2935,0.286219617,20.029,20.9033,22.577,264,0.363261364,0.2935,0.286219617,0.029,0.9033,2.577,,,50,106,,,,,,,,,,,,,264,49.950757576,50,5.787872416,39,53,106,264,-450.049242424,-450,5.787872416,-461,-447,-394,264,450.049242424,450,5.787872416,394,455,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_20ms_run-03,20,3,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay20/delay20_run-3.bag,amcl_sendTransform/delay20/delay_results-3.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay20_run-3.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay_results-3.csv,28.068,30.101,54.102,24.001,,SUCCEEDED,Goal reached.,no,4.416690346,0.223063365,0.187676414,0.219999999,0.306978806,1.597669725,0.020746888,100.004166667,100,119,163,0.391666667,3,27.6,62,5,0.742939268,0.644963208,0.86812373,9,4,0.393273068,1.20018971,0.134,720,120,30,241,condition_rows_all_recording,289,289,289,20,289,20.349726644,20.305,0.230565424,20.024,20.7322,22.216,289,0.349726644,0.305,0.230565424,0.024,0.7322,2.216,,,45,80,,,,,,,,,,,,,289,46.179930796,45,6.479305625,34,54,80,289,-453.820069204,-455,6.479305625,-466,-446,-420,289,453.820069204,455,6.479305625,420,462,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_20ms_run-04,20,4,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay20/delay20_run-4.bag,amcl_sendTransform/delay20/delay_results-4.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay20_run-4.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay_results-4.csv,28.822,20.127,44.328,24.201,,SUCCEEDED,Goal reached.,no,4.428282974,0.234181777,0.183665737,0.219999999,0.309141473,1.615245705,0.032921811,100.004132231,100,114,136,0.404958678,4,34.266666667,56,5,0.857593425,0.771905247,0.900082982,5,2,0.378559144,1.159507632,0.136,726,121,30,243,condition_rows_all_recording,234,234,234,20,234,20.404106838,20.298,0.415528849,20.027,20.99105,24.06,234,0.404106838,0.298,0.415528849,0.027,0.99105,4.06,,,51,80,,,,,,,,,,,,,234,51.106837607,51,5.465588432,41,57,80,234,-448.893162393,-449,5.465588432,-459,-443,-420,234,448.893162393,449,5.465588432,420,457,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_20ms_run-05,20,5,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay20/delay20_run-5.bag,amcl_sendTransform/delay20/delay_results-5.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay20_run-5.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay20/delay_results-5.csv,27.627,17.876,41.777,23.901,,SUCCEEDED,Goal reached.,no,4.459979858,0.267040402,0.190222214,0.219999999,0.287411433,1.526233164,0.020833333,100.0041841,100,117,137,0.308333333,2,35.6,55,5,0.842990527,0.754565951,0.895106086,3,4,0.391777852,1.156884432,0.136,717,120,30,240,condition_rows_all_recording,241,241,241,20,241,20.384149378,20.303,0.299262445,20.038,20.947,22.324,241,0.384149378,0.303,0.299262445,0.038,0.947,2.324,,,50,156,,,,,,,,,,,,,241,51.149377593,50,8.524137886,38,56,156,241,-448.850622407,-450,8.524137886,-462,-444,-344,241,448.850622407,450,8.524137886,344,455,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_50ms_run-01,50,1,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay50/delay50_run-1.bag,amcl_sendTransform/delay50/delay_results-1.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay50_run-1.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay_results-1.csv,28.791,41.545,65.447,23.902,,SUCCEEDED,Goal reached.,no,4.435251114,0.272513151,0.185989712,0.219999999,0.294608661,1.518872661,0.029166667,100,100,121.1,132,0.285714286,4,31.741935484,59,5,0.910325518,0.847342221,0.930812334,3,1,0.391737169,1.198123336,0.125,717,119,31,240,condition_rows_all_recording,341,341,341,50,341,50.324841642,50.284,0.196974703,50.027,50.644,51.664,341,0.324841642,0.284,0.196974703,0.027,0.644,1.664,,,78,113,,,,,,,,,,,,,341,78.527859238,78,6.611706494,38,86,113,341,-421.472140762,-422,6.611706494,-462,-414,-387,341,421.472140762,422,6.611706494,387,431,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_50ms_run-02,50,2,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay50/delay50_run-2.bag,amcl_sendTransform/delay50/delay_results-2.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay50_run-2.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay_results-2.csv,29.941,24.829,49.329,24.5,,SUCCEEDED,Goal reached.,no,4.421315269,0.253339678,0.184396001,0.219999999,0.316661249,1.586605988,0.028455285,100,100,118.6,136,0.430894309,4,35.65625,74,5,0.811679921,0.732499808,0.902449092,7,5,0.405828045,1.096447945,0.133,735,123,32,246,condition_rows_all_recording,264,264,264,50,264,50.332556818,50.277,0.206830409,50.031,50.6728,51.406,264,0.332556818,0.277,0.206830409,0.031,0.6728,1.406,,,81,120,,,,,,,,,,,,,264,81.575757576,81,5.644232174,72,87,120,264,-418.424242424,-419,5.644232174,-428,-413,-380,264,418.424242424,419,5.644232174,380,424.85,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_50ms_run-03,50,3,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay50/delay50_run-3.bag,amcl_sendTransform/delay50/delay_results-3.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay50_run-3.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay_results-3.csv,30.175,25.083,48.784,23.701,,SUCCEEDED,Goal reached.,no,4.424154563,0.249734417,0.188041259,0.219999999,0.306283137,1.481750522,0.033613445,100,100,118,132,0.428571429,2,36.103448276,63,5,0.942652712,0.87533184,0.928583591,1,0,0.394297402,1.139451265,0.132,711,119,29,238,condition_rows_all_recording,281,281,281,50,281,50.737092527,50.29,6.50730203,50.052,50.672,159.326,281,0.737092527,0.29,6.50730203,0.052,0.672,109.326,,,80,116,,,,,,,,,,,,,281,80.597864769,80,6.157909756,37,87,116,281,-419.402135231,-420,6.157909756,-463,-413,-384,281,419.402135231,420,6.157909756,384,425,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_50ms_run-04,50,4,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay50/delay50_run-4.bag,amcl_sendTransform/delay50/delay_results-4.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay50_run-4.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay_results-4.csv,33.485,22.259,45.558,23.299,,SUCCEEDED,Goal reached.,no,4.449181425,0.263674587,0.192365256,0.219999999,0.291386952,1.427019911,0.021367521,99.995708155,100,117,135,0.461538462,6,31.413793103,69,5,0.938342701,0.874205059,0.931647956,1,0,0.395982216,1.199132442,0.135,699,117,29,234,condition_rows_all_recording,258,258,258,50,258,50.343205426,50.272,0.281992398,50.025,50.77315,52.501,258,0.343205426,0.272,0.281992398,0.025,0.77315,2.501,,,78,120,,,,,,,,,,,,,258,78.589147287,78,7.591324562,65,86,120,258,-421.410852713,-422,7.591324562,-435,-414,-380,258,421.410852713,422,7.591324562,380,430,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_50ms_run-05,50,5,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay50/delay50_run-5.bag,amcl_sendTransform/delay50/delay_results-5.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay50_run-5.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay50/delay_results-5.csv,28.517,22.36,45.562,23.202,,SUCCEEDED,Goal reached.,no,4.411312767,0.225508586,0.191680891,0.219999999,0.297831853,1.515812057,0.030042918,100.004310345,100,117.9,152,0.413793103,4,31.178571429,62,5,0.93602149,0.861232765,0.92009935,1,1,0.402792494,1.023959756,0.153,696,116,28,233,condition_rows_all_recording,240,240,240,50,240,50.334204167,50.2725,0.249456908,50.027,50.66165,52.005,240,0.334204167,0.2725,0.249456908,0.027,0.66165,2.005,,,78,112,,,,,,,,,,,,,240,78.745833333,78,7.155036215,65,88,112,240,-421.254166667,-422,7.155036215,-435,-412,-388,240,421.254166667,422,7.155036215,388,431,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_100ms_run-01,100,1,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay100/delay100_run-1.bag,amcl_sendTransform/delay100/delay_results-1.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay100_run-1.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay_results-1.csv,29.804,24.834,47.528,22.694,,SUCCEEDED,Goal reached.,no,4.369318747,0.229253635,0.193181282,0.219999999,0.290798566,1.401055952,0.021929825,99.973568282,100,118,158,0.628318584,8,25.535714286,50,5,0.944540442,0.867074096,0.917985146,1,0,0.390288384,1.018586636,0.12,681,113,28,228,condition_rows_all_recording,263,263,263,100,263,100.551965779,100.28,3.40231984,100.035,100.7558,155.343,263,0.551965779,0.28,3.40231984,0.035,0.7558,55.343,,,123,164,,,,,,,,,,,,,263,121.36121673,123,10.127184414,38,134.9,164,263,-378.63878327,-377,10.127184414,-462,-365.1,-336,263,378.63878327,377,10.127184414,336,393.9,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_100ms_run-02,100,2,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay100/delay100_run-2.bag,amcl_sendTransform/delay100/delay_results-2.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay100_run-2.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay_results-2.csv,32.18,37.366,60.967,23.601,,SUCCEEDED,Goal reached.,no,4.454812112,0.272244841,0.189597331,0.219999999,0.286854831,1.460458619,0.025316456,100.004237288,100,115.25,133,0.93220339,7,20.032258065,68,5,0.955116631,0.898374572,0.940591487,1,0,0.388090414,1.408581138,0.133,709,118,31,237,condition_rows_all_recording,288,288,288,100,288,100.395642361,100.2845,0.435799182,100.042,101.17775,104.055,288,0.395642361,0.2845,0.435799182,0.042,1.17775,4.055,,,118,171,,,,,,,,,,,,,288,117.548611111,118,10.599999909,88,130.65,171,288,-382.451388889,-382,10.599999909,-412,-369.35,-329,288,382.451388889,382,10.599999909,329,399,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_100ms_run-03,100,3,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay100/delay100_run-3.bag,amcl_sendTransform/delay100/delay_results-3.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay100_run-3.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay_results-3.csv,36.665,32.532,58.532,26,,SUCCEEDED,Goal reached.,no,4.599377424,0.260378718,0.184626412,0.219999999,0.291704115,1.508429607,0.022988506,100,100,117,139,0.661538462,7,19.5625,45,5,0.540332929,0.32462113,0.600779839,4,16,0.46771729,1.334900618,0.138,780,130,32,261,condition_rows_all_recording,321,321,321,100,321,100.829183801,100.262,9.390222527,100.025,100.64,268.516,321,0.829183801,0.262,9.390222527,0.025,0.64,168.516,,,113,162,,,,,,,,,,,,,321,115.143302181,113,12.192647387,83,134,162,321,-384.856697819,-387,12.192647387,-417,-366,-338,321,384.856697819,387,12.192647387,338,402,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_100ms_run-04,100,4,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay100/delay100_run-4.bag,amcl_sendTransform/delay100/delay_results-4.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay100_run-4.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay_results-4.csv,30.244,26.099,49.4,23.301,,SUCCEEDED,Goal reached.,no,4.43850645,0.259626925,0.190517667,0.219999999,0.289762737,1.526165003,0.02991453,100.004291845,100,114,138,0.52991453,10,21.035714286,60,5,0.945355144,0.881766867,0.932736096,1,0,0.39065223,1.206655383,0.137,699,117,28,234,condition_rows_all_recording,271,271,271,100,271,100.360608856,100.294,0.358228628,100.031,100.785,103.076,271,0.360608856,0.294,0.358228628,0.031,0.785,3.076,,,119,160,,,,,,,,,,,,,271,121.20295203,119,10.589973881,102,136.5,160,271,-378.79704797,-381,10.589973881,-398,-363.5,-340,271,378.79704797,381,10.589973881,340,394,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,te2_100ms_run-05,100,5,AMCL TF publication before tfb_->sendTransform(),amcl_sendTransform/delay100/delay100_run-5.bag,amcl_sendTransform/delay100/delay_results-5.csv,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay100_run-5.bag,results_delay_sendTransofrm/amcl_sendTransofrm/delay100/delay_results-5.csv,27.709,19.004,42.303,23.299,,SUCCEEDED,Goal reached.,no,4.435226717,0.270157009,0.191218907,0.219999999,0.29581771,1.480367704,0.025641026,99.991416309,100,112.4,129,0.612068966,7,31.233333333,67,5,0.939036168,0.882233381,0.939509479,1,0,0.38472227,1.367967844,0.129,699,116,30,234,condition_rows_all_recording,245,245,245,100,245,100.416991837,100.311,0.479423082,100.025,100.9282,104.182,245,0.416991837,0.311,0.479423082,0.025,0.9282,4.182,,,126,166,,,,,,,,,,,,,245,126.07755102,126,8.580268665,102,137,166,245,-373.92244898,-374,8.580268665,-398,-363,-334,245,373.92244898,374,8.580268665,334,386.8,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
