tf_send_time_sec,scan_time_sec,tf_stamp_sec,hook,temporal_displacement_ms,tf_stamp_lag_ms,requested_delay_us,measured_delay_us,delay_error_us
1.420000000,1.313000000,1.813000000,map_odom_tf_new_pose,107.000000000,-393.000000000,50000,50609,609
1.593000000,1.513000000,2.013000000,map_odom_tf_republish,80.000000000,-420.000000000,50000,50296,296
1.796000000,1.713000000,2.213000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50172,172
2.002000000,1.913000000,2.413000000,map_odom_tf_republish,89.000000000,-411.000000000,50000,50309,309
2.188000000,2.113000000,2.613000000,map_odom_tf_republish,75.000000000,-425.000000000,50000,50336,336
2.397000000,2.313000000,2.813000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50426,426
2.605000000,2.514000000,3.014000000,map_odom_tf_republish,91.000000000,-409.000000000,50000,50062,62
2.792000000,2.713000000,3.213000000,map_odom_tf_republish,79.000000000,-421.000000000,50000,50501,501
2.999000000,2.913000000,3.413000000,map_odom_tf_republish,86.000000000,-414.000000000,50000,50133,133
3.200000000,3.114000000,3.614000000,map_odom_tf_republish,86.000000000,-414.000000000,50000,50263,263
3.390000000,3.313000000,3.813000000,map_odom_tf_republish,77.000000000,-423.000000000,50000,50397,397
3.598000000,3.513000000,4.013000000,map_odom_tf_republish,85.000000000,-415.000000000,50000,50913,913
3.798000000,3.713000000,4.213000000,map_odom_tf_republish,85.000000000,-415.000000000,50000,50125,125
3.988000000,3.913000000,4.413000000,map_odom_tf_republish,75.000000000,-425.000000000,50000,50596,596
4.197000000,4.113000000,4.613000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50144,144
4.397000000,4.314000000,4.814000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50050,50
4.595000000,4.513000000,5.013000000,map_odom_tf_republish,82.000000000,-418.000000000,50000,50410,410
4.803000000,4.713000000,5.213000000,map_odom_tf_republish,90.000000000,-410.000000000,50000,50168,168
4.993000000,4.913000000,5.413000000,map_odom_tf_republish,80.000000000,-420.000000000,50000,50262,262
5.200000000,5.113000000,5.613000000,map_odom_tf_republish,87.000000000,-413.000000000,50000,50241,241
5.394000000,5.316000000,5.816000000,map_odom_tf_republish,78.000000000,-422.000000000,50000,50241,241
5.598000000,5.514000000,6.014000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50082,82
5.796000000,5.713000000,6.213000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50225,225
5.996000000,5.913000000,6.413000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50229,229
6.194000000,6.114000000,6.614000000,map_odom_tf_republish,80.000000000,-420.000000000,50000,50151,151
6.397000000,6.314000000,6.814000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50139,139
6.595000000,6.513000000,7.013000000,map_odom_tf_republish,82.000000000,-418.000000000,50000,50556,556
6.796000000,6.715000000,7.215000000,map_odom_tf_republish,81.000000000,-419.000000000,50000,50199,199
6.998000000,6.914000000,7.414000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50193,193
7.196000000,7.113000000,7.613000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50462,462
7.399000000,7.314000000,7.814000000,map_odom_tf_republish,85.000000000,-415.000000000,50000,50520,520
7.597000000,7.513000000,8.013000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50621,621
7.797000000,7.713000000,8.213000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50099,99
7.996000000,7.913000000,8.413000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50427,427
8.197000000,8.113000000,8.613000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50199,199
8.400000000,8.313000000,8.813000000,map_odom_tf_republish,87.000000000,-413.000000000,50000,50573,573
8.598000000,8.513000000,9.013000000,map_odom_tf_republish,85.000000000,-415.000000000,50000,50146,146
8.796000000,8.714000000,9.214000000,map_odom_tf_republish,82.000000000,-418.000000000,50000,50243,243
8.997000000,8.913000000,9.413000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50387,387
9.194000000,9.113000000,9.613000000,map_odom_tf_republish,81.000000000,-419.000000000,50000,50113,113
9.397000000,9.313000000,9.813000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50360,360
9.598000000,9.513000000,10.013000000,map_odom_tf_republish,85.000000000,-415.000000000,50000,50290,290
9.796000000,9.713000000,10.213000000,map_odom_tf_republish,83.000000000,-417.000000000,50000,50151,151
9.995000000,9.913000000,10.413000000,map_odom_tf_republish,82.000000000,-418.000000000,50000,50112,112
10.197000000,10.113000000,10.613000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50207,207
10.394000000,10.315000000,10.815000000,map_odom_tf_republish,79.000000000,-421.000000000,50000,50361,361
10.598000000,10.514000000,11.014000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50249,249
10.829000000,10.714000000,11.214000000,map_odom_tf_new_pose,115.000000000,-385.000000000,50000,50486,486
10.997000000,10.915000000,11.415000000,map_odom_tf_republish,82.000000000,-418.000000000,50000,50442,442
11.195000000,11.115000000,11.615000000,map_odom_tf_republish,80.000000000,-420.000000000,50000,50246,246
11.393000000,11.314000000,11.814000000,map_odom_tf_republish,79.000000000,-421.000000000,50000,50164,164
11.599000000,11.515000000,12.015000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50473,473
11.801000000,11.714000000,12.214000000,map_odom_tf_republish,87.000000000,-413.000000000,50000,50141,141
11.995000000,11.914000000,12.414000000,map_odom_tf_republish,81.000000000,-419.000000000,50000,50332,332
12.194000000,12.114000000,12.614000000,map_odom_tf_republish,80.000000000,-420.000000000,50000,50555,555
12.398000000,12.314000000,12.814000000,map_odom_tf_republish,84.000000000,-416.000000000,50000,50196,196
