tf_send_time_sec,scan_time_sec,tf_stamp_sec,hook,temporal_displacement_ms,tf_stamp_lag_ms,requested_delay_us,measured_delay_us,delay_error_us
0.799000000,0.718000000,1.218000000,map_odom_tf_new_pose,81.000000000,-419.000000000,0,260,260
0.952000000,0.918000000,1.418000000,map_odom_tf_republish,34.000000000,-466.000000000,0,471,471
1.153000000,1.118000000,1.618000000,map_odom_tf_republish,35.000000000,-465.000000000,0,661,661
1.353000000,1.320000000,1.820000000,map_odom_tf_republish,33.000000000,-467.000000000,0,246,246
1.552000000,1.520000000,2.020000000,map_odom_tf_republish,32.000000000,-468.000000000,0,371,371
1.752000000,1.720000000,2.220000000,map_odom_tf_republish,32.000000000,-468.000000000,0,163,163
1.952000000,1.921000000,2.421000000,map_odom_tf_republish,31.000000000,-469.000000000,0,425,425
2.152000000,2.121000000,2.621000000,map_odom_tf_republish,31.000000000,-469.000000000,0,137,137
2.352000000,2.320000000,2.820000000,map_odom_tf_republish,32.000000000,-468.000000000,0,285,285
2.552000000,2.520000000,3.020000000,map_odom_tf_republish,32.000000000,-468.000000000,0,212,212
2.753000000,2.720000000,3.220000000,map_odom_tf_republish,33.000000000,-467.000000000,0,278,278
2.952000000,2.920000000,3.420000000,map_odom_tf_republish,32.000000000,-468.000000000,0,172,172
3.152000000,3.120000000,3.620000000,map_odom_tf_republish,32.000000000,-468.000000000,0,304,304
3.352000000,3.320000000,3.820000000,map_odom_tf_republish,32.000000000,-468.000000000,0,300,300
3.552000000,3.520000000,4.020000000,map_odom_tf_republish,32.000000000,-468.000000000,0,182,182
3.752000000,3.720000000,4.220000000,map_odom_tf_republish,32.000000000,-468.000000000,0,156,156
3.952000000,3.920000000,4.420000000,map_odom_tf_republish,32.000000000,-468.000000000,0,240,240
4.152000000,4.120000000,4.620000000,map_odom_tf_republish,32.000000000,-468.000000000,0,270,270
4.353000000,4.320000000,4.820000000,map_odom_tf_republish,33.000000000,-467.000000000,0,417,417
4.552000000,4.520000000,5.020000000,map_odom_tf_republish,32.000000000,-468.000000000,0,196,196
4.752000000,4.720000000,5.220000000,map_odom_tf_republish,32.000000000,-468.000000000,0,516,516
4.952000000,4.921000000,5.421000000,map_odom_tf_republish,31.000000000,-469.000000000,0,150,150
5.152000000,5.125000000,5.625000000,map_odom_tf_republish,27.000000000,-473.000000000,0,109,109
5.352000000,5.325000000,5.825000000,map_odom_tf_republish,27.000000000,-473.000000000,0,224,224
5.552000000,5.525000000,6.025000000,map_odom_tf_republish,27.000000000,-473.000000000,0,517,517
5.756000000,5.725000000,6.225000000,map_odom_tf_republish,31.000000000,-469.000000000,0,622,622
5.952000000,5.925000000,6.425000000,map_odom_tf_republish,27.000000000,-473.000000000,0,415,415
6.154000000,6.125000000,6.625000000,map_odom_tf_republish,29.000000000,-471.000000000,0,256,256
6.352000000,6.325000000,6.825000000,map_odom_tf_republish,27.000000000,-473.000000000,0,301,301
6.552000000,6.525000000,7.025000000,map_odom_tf_republish,27.000000000,-473.000000000,0,162,162
6.752000000,6.725000000,7.225000000,map_odom_tf_republish,27.000000000,-473.000000000,0,464,464
6.953000000,6.925000000,7.425000000,map_odom_tf_republish,28.000000000,-472.000000000,0,491,491
7.153000000,7.125000000,7.625000000,map_odom_tf_republish,28.000000000,-472.000000000,0,503,503
7.352000000,7.326000000,7.826000000,map_odom_tf_republish,26.000000000,-474.000000000,0,297,297
7.552000000,7.526000000,8.026000000,map_odom_tf_republish,26.000000000,-474.000000000,0,609,609
7.752000000,7.726000000,8.226000000,map_odom_tf_republish,26.000000000,-474.000000000,0,215,215
7.977000000,7.926000000,8.426000000,map_odom_tf_new_pose,51.000000000,-449.000000000,0,87,87
8.152000000,8.127000000,8.627000000,map_odom_tf_republish,25.000000000,-475.000000000,0,140,140
8.352000000,8.326000000,8.826000000,map_odom_tf_republish,26.000000000,-474.000000000,0,207,207
8.552000000,8.526000000,9.026000000,map_odom_tf_republish,26.000000000,-474.000000000,0,582,582
8.752000000,8.726000000,9.226000000,map_odom_tf_republish,26.000000000,-474.000000000,0,350,350
8.952000000,8.926000000,9.426000000,map_odom_tf_republish,26.000000000,-474.000000000,0,87,87
9.152000000,9.130000000,9.630000000,map_odom_tf_republish,22.000000000,-478.000000000,0,142,142
9.352000000,9.330000000,9.830000000,map_odom_tf_republish,22.000000000,-478.000000000,0,54,54
9.552000000,9.530000000,10.030000000,map_odom_tf_republish,22.000000000,-478.000000000,0,136,136
9.752000000,9.730000000,10.230000000,map_odom_tf_republish,22.000000000,-478.000000000,0,254,254
9.953000000,9.930000000,10.430000000,map_odom_tf_republish,23.000000000,-477.000000000,0,315,315
10.154000000,10.130000000,10.630000000,map_odom_tf_republish,24.000000000,-476.000000000,0,389,389
10.352000000,10.330000000,10.830000000,map_odom_tf_republish,22.000000000,-478.000000000,0,315,315
10.552000000,10.530000000,11.030000000,map_odom_tf_republish,22.000000000,-478.000000000,0,448,448
10.752000000,10.730000000,11.230000000,map_odom_tf_republish,22.000000000,-478.000000000,0,456,456
10.952000000,10.930000000,11.430000000,map_odom_tf_republish,22.000000000,-478.000000000,0,339,339
11.152000000,11.133000000,11.633000000,map_odom_tf_republish,19.000000000,-481.000000000,0,117,117
11.352000000,11.333000000,11.833000000,map_odom_tf_republish,19.000000000,-481.000000000,0,236,236
11.552000000,11.533000000,12.033000000,map_odom_tf_republish,19.000000000,-481.000000000,0,609,609
11.753000000,11.735000000,12.235000000,map_odom_tf_republish,18.000000000,-482.000000000,0,300,300
11.952000000,11.936000000,12.436000000,map_odom_tf_republish,16.000000000,-484.000000000,0,86,86
12.153000000,12.136000000,12.636000000,map_odom_tf_republish,17.000000000,-483.000000000,0,811,811
12.352000000,12.336000000,12.836000000,map_odom_tf_republish,16.000000000,-484.000000000,0,430,430
